S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-02,10.26,11.25,10.26,10.60,1.83,"76,995.00","823,352.25"
2,2025-04-01,10.41,10.41,10.41,10.41,0.00,100.00,"1,041.00"
3,2025-03-30,10.21,10.45,10.20,10.41,0.58,"2,205.00","22,665.25"
4,2025-03-27,10.35,10.35,10.25,10.35,1.07,"3,500.00","36,135.00"
5,2025-03-26,10.41,10.44,10.17,10.24,-0.10,"55,200.00","567,000.00"
6,2025-03-25,10.30,10.30,10.25,10.25,-0.87,"30,400.00","312,700.00"
7,2025-03-24,10.34,10.34,10.34,10.34,-1.99,"4,400.00","45,496.00"
8,2025-03-23,10.20,10.55,10.16,10.55,3.94,"31,710.00","330,600.50"
9,2025-03-20,10.17,10.44,10.06,10.15,-0.98,"123,300.00","1,259,796.00"
10,2025-03-19,10.54,10.70,10.25,10.25,-1.91,"45,650.00","480,110.00"
11,2025-03-18,10.40,10.45,10.40,10.45,1.46,"10,800.00","112,695.00"
12,2025-03-17,10.30,10.30,10.21,10.30,0.10,"2,800.00","28,822.00"
13,2025-03-16,10.36,10.38,10.29,10.29,-2.00,"533,204.00","5,532,947.20"
14,2025-03-11,10.30,10.50,10.30,10.50,1.65,"3,200.00","32,992.00"
15,2025-03-10,10.35,10.45,10.13,10.33,-0.19,"19,900.00","206,082.50"
16,2025-03-09,10.36,10.36,10.15,10.35,0.00,"1,100.00","11,367.00"
17,2025-03-06,10.40,10.50,10.32,10.35,0.49,"104,000.00","1,090,738.00"
18,2025-03-05,10.29,10.35,10.15,10.30,-1.90,"57,000.00","583,357.00"
19,2025-03-04,10.40,10.81,10.30,10.50,-0.94,"29,456.00","309,919.20"
20,2025-03-03,10.39,10.80,10.39,10.60,2.02,"25,967.00","273,004.90"
21,2025-03-02,10.60,10.81,10.39,10.39,-0.10,"31,683.00","334,946.87"
22,2025-02-27,10.31,10.50,10.31,10.40,-0.95,"1,050.00","10,920.00"
23,2025-02-25,10.40,10.50,10.40,10.50,0.96,"14,300.00","149,065.00"
24,2025-02-24,10.13,10.50,10.13,10.40,0.78,"18,560.00","193,598.70"
25,2025-02-23,10.25,10.48,10.25,10.32,-1.24,"27,998.00","291,778.44"
26,2025-02-20,10.21,10.50,10.01,10.45,0.38,"111,990.00","1,166,901.00"
27,2025-02-18,10.21,10.41,10.21,10.41,0.29,"10,900.00","111,452.00"
28,2025-02-17,10.13,10.38,10.13,10.38,0.68,"11,107.00","113,660.30"
