S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-17,10.30,10.50,10.30,10.49,1.84,"72,700.00","762,652.00"
2,2025-04-16,10.2,10.3,10.2,10.3,-0.96,500.00,"5,125.00"
3,2025-04-15,10.2,10.4,10.2,10.4,1.17,"1,100.00","11,347.00"
4,2025-04-13,10.25,10.29,10.25,10.28,-1.34,"2,600.00","26,730.00"
5,2025-04-10,10.6,10.79,10.19,10.42,0.19,"1,200.00","12,456.00"
6,2025-04-09,10.11,10.45,10.11,10.4,1.46,"24,035.00","250,991.75"
7,2025-04-08,10.44,10.44,10.24,10.25,-0.1,"31,700.00","324,667.00"
8,2025-04-07,10.11,10.4,10.11,10.26,0.1,"2,000.00","20,429.00"
9,2025-04-03,10.44,10.44,10.25,10.25,0.1,"47,100.00","483,308.00"
10,2025-04-02,10.11,10.3,10.11,10.24,0.89,"230,300.00","2,349,456.00"
11,2025-04-01,10.22,10.35,10.11,10.15,-2.59,"303,225.00","3,088,452.75"
12,2025-03-30,11.28,11.28,10.41,10.42,-5.79,"90,100.00","949,372.00"
13,2025-03-27,11.28,11.28,11.06,11.06,0.0,200.00,"2,234.00"
14,2025-03-26,11.06,11.06,11.06,11.06,1.94,100.00,"1,106.00"
15,2025-03-25,10.51,10.85,10.51,10.85,3.93,333.00,"3,546.83"
16,2025-03-24,10.13,10.44,10.04,10.44,3.06,500.00,"5,109.00"
17,2025-03-23,10.3,10.3,10.1,10.13,-0.59,"1,730.00","17,669.20"
18,2025-03-20,10.01,10.39,10.0,10.19,1.09,"8,700.00","88,481.00"
19,2025-03-19,10.14,10.25,10.08,10.08,-0.49,"15,100.00","153,628.00"
20,2025-03-18,9.99,10.21,9.99,10.13,-0.49,"7,000.00","71,196.00"
21,2025-03-17,10.1,10.28,10.07,10.18,0.39,"13,900.00","141,834.00"
22,2025-03-16,10.25,10.26,10.11,10.14,-2.97,"5,900.00","60,382.00"
23,2025-03-12,10.3,10.45,10.14,10.45,1.85,"26,550.00","269,687.20"
24,2025-03-11,10.25,10.45,10.25,10.26,-1.82,"2,700.00","28,017.00"
25,2025-03-10,10.07,10.45,10.07,10.45,1.95,"3,900.00","39,945.70"
26,2025-03-09,10.15,10.25,10.15,10.25,0.29,"1,010.00","10,324.50"
27,2025-03-06,10.2,10.3,10.19,10.22,-0.49,"57,275.00","585,647.50"
28,2025-03-05,10.28,10.34,10.22,10.27,-0.1,"10,400.00","106,587.00"
