S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-17,9.25,9.58,9.25,9.45,3.28,"252,589.00","2,373,530.07"
2,2025-04-16,9.18,9.28,9.1,9.15,1.67,"261,835.00","2,422,354.50"
3,2025-04-15,8.91,9.0,8.9,9.0,-0.22,"4,000.00","35,645.00"
4,2025-04-13,9.0,9.19,8.89,9.02,0.11,"4,100.00","36,963.00"
5,2025-04-10,9.17,9.17,9.01,9.01,0.0,"2,600.00","23,442.00"
6,2025-04-09,9.15,9.15,9.0,9.01,-0.11,"40,850.00","370,314.70"
7,2025-04-08,8.86,9.04,8.85,9.02,0.11,"194,250.00","1,753,496.50"
8,2025-04-07,9.01,9.01,8.87,9.01,-1.96,"1,700.00","15,303.00"
9,2025-04-03,8.94,9.25,8.8,9.19,0.99,"308,100.00","2,726,405.00"
10,2025-04-02,9.0,9.1,8.82,9.1,2.25,"99,776.00","897,898.10"
11,2025-04-01,9.07,9.07,8.83,8.9,-1.11,"93,200.00","833,868.00"
12,2025-03-30,8.96,9.1,8.87,9.0,2.39,"154,800.00","1,390,397.00"
13,2025-03-27,8.7,8.87,8.7,8.79,-0.34,"5,334.00","46,740.32"
14,2025-03-26,8.45,8.94,8.45,8.82,4.38,"19,200.00","164,347.00"
15,2025-03-25,8.5,8.5,8.38,8.45,-2.42,"6,320.00","53,500.00"
16,2025-03-24,8.5,8.8,8.5,8.66,1.52,"4,900.00","42,416.00"
17,2025-03-23,8.52,8.85,8.52,8.53,-1.39,"9,100.00","77,999.00"
18,2025-03-20,8.7,8.7,8.61,8.65,-0.57,"6,199.00","53,516.39"
19,2025-03-19,8.7,8.87,8.63,8.7,0.93,"8,700.00","75,619.00"
20,2025-03-18,8.79,8.98,8.62,8.62,-3.79,"55,710.00","481,734.00"
21,2025-03-17,8.8,8.97,8.66,8.96,2.17,"12,224.00","107,169.70"
22,2025-03-16,8.74,8.85,8.67,8.77,0.11,"10,700.00","93,682.00"
23,2025-03-12,8.8,8.97,8.74,8.76,-2.34,"16,900.00","148,666.00"
24,2025-03-11,8.87,8.97,8.77,8.97,3.1,"22,200.00","196,769.00"
25,2025-03-10,8.65,8.8,8.65,8.7,-1.14,"22,800.00","198,776.00"
26,2025-03-09,8.91,9.0,8.8,8.8,-2.76,"521,760.00","4,600,943.00"
27,2025-03-06,8.87,9.05,8.87,9.05,0.0,"6,000.00","54,073.50"
28,2025-03-05,8.86,9.08,8.85,9.05,1.0,"34,600.00","310,782.20"
29,2025-03-04,9.0,9.05,8.88,8.96,-2.08,"2,200.00","19,631.00"
30,2025-03-03,8.9,9.15,8.81,9.15,2.23,"69,050.00","620,607.00"
31,2025-03-02,8.75,9.08,8.75,8.95,0.34,"23,600.00","212,505.00"
32,2025-02-27,8.7,8.92,8.7,8.92,3.6,"1,500.00","13,136.00"
33,2025-02-25,8.87,8.87,8.56,8.61,-1.03,"6,750.00","58,636.00"
34,2025-02-24,8.64,8.7,8.64,8.7,0.46,"3,650.00","31,645.50"
35,2025-02-23,8.68,8.7,8.57,8.66,-2.15,"4,250.00","36,658.50"
36,2025-02-20,8.75,8.92,8.75,8.85,1.14,"8,850.00","78,419.00"
37,2025-02-18,8.87,8.9,8.75,8.75,-3.31,"7,700.00","67,871.00"
38,2025-02-17,8.57,9.05,8.57,9.05,4.38,"16,800.00","148,509.00"
39,2025-02-16,8.69,8.82,8.56,8.67,-0.23,"103,565.00","910,919.30"
40,2025-02-13,8.66,8.69,8.66,8.69,0.35,"1,600.00","13,895.00"
41,2025-02-12,8.93,8.94,8.66,8.66,-1.25,"5,930.00","51,860.80"
42,2025-02-11,8.68,8.9,8.68,8.77,-0.57,"13,900.00","123,107.00"
43,2025-02-10,8.74,8.9,8.74,8.82,-0.68,"9,700.00","85,689.00"
44,2025-02-09,8.62,8.88,8.62,8.88,1.25,"3,750.00","32,735.50"
45,2025-02-06,9.3,9.48,8.77,8.77,-4.05,"16,350.00","146,686.00"
46,2025-02-05,8.63,9.14,8.63,9.14,3.98,"16,258.00","143,708.42"
47,2025-02-04,8.76,8.8,8.75,8.79,-1.57,"6,300.00","55,340.00"
48,2025-02-03,8.8,9.14,8.8,8.93,-0.45,"15,900.00","142,086.00"
49,2025-02-02,8.9,9.1,8.74,8.97,0.79,"12,000.00","106,325.00"
