S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-03,9.00,9.18,9.00,9.00,0.00,"3,550.00","31,968.00"
2,2025-04-02,9.0,9.07,8.9,9.0,0.45,"11,300.00","101,291.00"
3,2025-04-01,8.99,9.0,8.93,8.96,-1.1,"7,300.00","65,434.00"
4,2025-03-30,8.99,9.16,8.99,9.06,-0.98,500.00,"4,523.00"
5,2025-03-27,8.83,9.15,8.83,9.15,3.86,"2,200.00","19,657.00"
6,2025-03-26,8.71,8.88,8.7,8.81,-0.34,"3,000.00","26,305.00"
7,2025-03-25,8.82,8.9,8.82,8.84,-1.78,"6,649.00","58,781.10"
8,2025-03-24,8.72,9.0,8.72,9.0,1.24,700.00,"6,226.00"
9,2025-03-23,8.85,8.9,8.85,8.89,-1.22,"8,550.00","75,860.50"
10,2025-03-20,8.81,9.13,8.81,9.0,0.45,"1,600.00","14,435.00"
11,2025-03-19,8.93,9.1,8.93,8.96,-0.55,"11,310.00","101,064.30"
12,2025-03-18,8.93,9.1,8.93,9.01,-0.22,"3,700.00","33,150.00"
13,2025-03-17,9.0,9.14,9.0,9.03,-0.77,"7,401.00","66,859.14"
14,2025-03-16,8.95,9.18,8.92,9.1,0.0,"66,983.00","602,077.36"
15,2025-03-12,9.09,9.1,9.09,9.1,-0.22,"7,200.00","65,507.00"
16,2025-03-11,9.18,9.18,9.11,9.12,-0.87,"3,900.00","35,687.00"
17,2025-03-10,9.14,9.33,9.14,9.2,-0.22,"35,260.00","325,145.00"
18,2025-03-09,9.16,9.36,9.16,9.22,0.66,"16,331.00","150,484.56"
19,2025-03-06,9.15,9.19,9.15,9.16,-1.08,"32,400.00","296,671.00"
20,2025-03-05,9.2,9.26,9.08,9.26,0.65,"17,400.00","160,310.00"
21,2025-03-04,9.3,9.3,9.15,9.2,-0.54,"22,100.00","204,125.00"
22,2025-03-03,9.07,9.25,9.07,9.25,0.11,"11,100.00","102,018.00"
23,2025-03-02,8.94,9.24,8.94,9.24,3.47,"22,004.00","200,728.40"
24,2025-02-27,8.89,9.0,8.89,8.93,-0.33,"2,500.00","22,335.00"
25,2025-02-25,9.01,9.01,8.87,8.96,-0.55,"4,560.00","40,708.60"
26,2025-02-24,8.88,9.04,8.88,9.01,-0.33,"3,950.00","35,490.00"
27,2025-02-23,9.02,9.05,9.02,9.04,-1.63,"4,600.00","41,568.00"
28,2025-02-20,8.96,9.19,8.96,9.19,0.88,"7,300.00","65,711.00"
29,2025-02-18,9.1,9.2,9.1,9.11,-1.19,"7,545.00","69,181.50"
30,2025-02-17,8.91,9.22,8.91,9.22,2.1,"4,350.00","39,223.00"
31,2025-02-16,8.97,9.13,8.95,9.03,-0.44,"43,400.00","393,645.00"
32,2025-02-13,9.02,9.22,9.02,9.07,-0.33,"40,750.00","371,138.00"
33,2025-02-12,9.2,9.2,9.1,9.1,0.55,"1,600.00","14,710.00"
34,2025-02-11,9.05,9.05,9.05,9.05,-1.63,"1,100.00","9,955.00"
35,2025-02-10,9.0,9.25,9.0,9.2,1.43,"1,013,550.00","9,348,986.00"
36,2025-02-09,8.9,9.08,8.9,9.07,0.78,"4,240.00","38,439.00"
37,2025-02-06,8.9,9.0,8.9,9.0,-0.55,"4,600.00","41,226.00"
38,2025-02-05,8.98,9.3,8.97,9.05,-1.09,"12,500.00","113,818.00"
39,2025-02-04,9.01,9.2,9.01,9.15,0.0,"6,410.00","58,378.10"
40,2025-02-03,9.14,9.32,9.01,9.15,0.0,"9,700.00","88,816.00"
41,2025-02-02,9.1,9.25,9.02,9.15,0.55,"14,000.00","128,987.00"
42,2025-01-28,9.02,9.1,8.96,9.1,0.89,"11,352.00","102,247.44"
43,2025-01-27,9.19,9.2,9.02,9.02,-0.33,900.00,"8,244.00"
44,2025-01-26,9.01,9.1,9.01,9.05,-0.55,"9,150.00","83,152.50"
45,2025-01-23,9.2,9.2,9.1,9.1,-1.09,"17,300.00","158,284.00"
46,2025-01-22,9.05,9.25,9.05,9.2,0.99,"13,230.00","121,202.70"
47,2025-01-21,9.0,9.11,9.0,9.11,-0.44,"2,450.00","22,239.00"
48,2025-01-20,9.1,9.15,9.1,9.15,0.55,"3,250.00","29,601.00"
49,2025-01-19,9.0,9.18,9.0,9.1,0.44,"4,200.00","38,122.00"
50,2025-01-16,9.06,9.06,9.06,9.06,-0.33,"1,100.00","9,966.00"
51,2025-01-15,9.15,9.24,9.02,9.09,-0.66,"4,400.00","39,990.00"
52,2025-01-13,9.11,9.16,9.11,9.15,-1.51,"13,380.00","122,476.00"
53,2025-01-12,9.12,9.29,9.12,9.29,-0.11,"5,100.00","46,890.00"
54,2025-01-09,9.2,9.3,9.2,9.3,1.53,"17,000.00","156,480.00"
55,2025-01-08,9.12,9.3,9.12,9.16,0.44,"14,900.00","137,005.00"
56,2025-01-07,8.99,9.14,8.99,9.12,0.22,"2,150.00","19,541.00"
57,2025-01-06,9.0,9.1,9.0,9.1,0.44,"1,600.00","14,501.00"
58,2025-01-05,9.15,9.16,8.99,9.06,-2.79,"1,300.00","11,827.00"
59,2025-01-02,9.49,9.67,9.31,9.32,0.11,"19,613.00","186,683.71"
60,2025-01-01,9.3,10.01,9.3,9.31,1.97,"1,734,589.00","17,334,672.32"
61,2024-12-31,9.13,9.13,9.13,9.13,0.0,300.00,"2,739.00"
62,2024-12-29,9.05,9.13,9.05,9.13,-0.76,700.00,"6,367.00"
63,2024-12-26,9.0,9.2,9.0,9.2,0.55,"12,400.00","113,882.00"
64,2024-12-24,9.08,9.26,9.07,9.15,0.66,"12,450.00","113,072.50"
65,2024-12-23,9.1,9.2,9.02,9.09,-0.22,"3,500.00","32,035.00"
66,2024-12-22,9.07,9.25,9.07,9.11,-1.51,"1,900.00","17,298.00"
67,2024-12-19,9.2,9.36,9.18,9.25,-0.64,"3,489.00","32,334.04"
68,2024-12-18,9.3,9.33,9.23,9.31,-0.21,"6,550.00","60,858.00"
69,2024-12-17,9.32,9.4,9.32,9.33,-1.27,"26,700.00","249,089.00"
70,2024-12-16,9.4,9.5,9.4,9.45,-1.25,"32,100.00","303,295.00"
71,2024-12-12,9.36,9.57,9.36,9.57,0.74,"19,035.00","180,704.45"
72,2024-12-11,9.44,9.5,9.44,9.5,-1.35,"2,400.00","22,729.00"
73,2024-12-10,9.54,9.63,9.45,9.63,-0.93,"39,650.00","378,617.50"
74,2024-12-09,9.29,9.91,9.29,9.72,2.97,"101,445.00","995,383.50"
75,2024-12-08,9.41,9.6,9.41,9.44,-1.56,"2,600.00","24,672.00"
76,2024-12-05,9.41,9.7,9.41,9.59,-0.1,"10,350.00","99,168.50"
77,2024-12-04,9.55,9.73,9.55,9.6,0.52,"23,028.00","223,314.34"
78,2024-12-03,9.45,9.6,9.45,9.55,-0.62,"7,600.00","72,581.00"
79,2024-12-02,9.5,9.7,9.5,9.61,1.16,"17,400.00","166,983.00"
80,2024-12-01,9.5,9.69,9.5,9.5,-1.96,"39,315.00","373,563.30"
81,2024-11-28,9.4,9.69,9.4,9.69,1.36,"10,000.00","95,122.00"
82,2024-11-27,9.5,9.6,9.5,9.56,-0.62,"9,995.00","95,454.25"
83,2024-11-26,9.41,9.62,9.41,9.62,0.21,"4,950.00","47,046.00"
84,2024-11-25,9.8,9.8,9.6,9.6,-0.1,"100,500.00","984,457.00"
85,2024-11-24,9.45,9.89,9.45,9.61,0.21,"401,599.00","3,934,071.20"
86,2024-11-21,9.41,9.59,9.41,9.59,-0.1,"3,025.00","28,937.75"
87,2024-11-20,9.43,9.61,9.43,9.6,-0.21,"42,700.00","408,211.00"
88,2024-11-19,9.29,9.62,9.29,9.62,1.8,"54,485.00","519,503.85"
89,2024-11-17,9.36,9.5,9.36,9.45,-1.05,"3,930.00","37,086.70"
90,2024-11-14,9.69,9.69,9.31,9.55,0.53,"9,210.00","86,583.00"
91,2024-11-13,9.24,9.5,9.24,9.5,1.06,"12,550.00","118,061.50"
92,2024-11-12,9.35,9.53,9.35,9.4,-1.47,"3,200.00","30,167.00"
93,2024-11-11,9.7,9.7,9.51,9.54,-2.55,"2,400.00","23,039.00"
94,2024-11-10,9.23,9.79,9.23,9.79,4.04,"113,415.00","1,097,395.70"
95,2024-11-06,9.23,9.51,9.23,9.41,1.95,"60,000.00","564,485.00"
96,2024-11-05,9.4,9.4,9.22,9.23,-1.81,700.00,"6,509.00"
97,2024-10-30,9.34,9.4,9.33,9.4,-1.26,"13,700.00","128,498.00"
98,2024-10-29,9.35,9.52,9.35,9.52,0.0,"6,700.00","63,313.00"
99,2024-10-28,9.49,9.55,9.49,9.52,-1.45,"7,020.00","66,786.40"
100,2024-10-27,9.71,9.85,9.66,9.66,-0.31,"449,278.00","4,358,680.18"
101,2024-10-24,8.95,9.69,8.9,9.69,7.67,"339,081.00","3,258,380.68"
102,2024-10-23,9.02,9.1,8.84,9.0,-2.17,"62,300.00","565,607.00"
103,2024-10-22,9.02,9.2,9.02,9.2,0.0,"71,300.00","654,342.00"
104,2024-10-21,9.15,9.25,9.15,9.2,0.55,"24,300.00","223,355.00"
105,2024-10-20,9.34,9.34,9.0,9.15,-2.03,"152,550.00","1,400,392.00"
106,2024-10-17,8.9,9.34,8.9,9.34,6.14,"11,740.00","107,307.00"
107,2024-10-16,8.71,8.8,8.66,8.8,1.03,"3,232.00","28,346.72"
108,2024-10-15,8.5,8.8,8.47,8.71,1.28,"3,525.00","30,472.25"
109,2024-10-09,8.36,8.68,8.36,8.6,1.06,900.00,"7,613.00"
110,2024-10-08,8.49,8.53,8.49,8.51,-1.39,"8,200.00","69,812.00"
111,2024-10-07,8.6,8.65,8.53,8.63,2.13,"11,080.00","95,481.00"
112,2024-10-06,8.51,8.51,8.42,8.45,-1.4,"5,700.00","48,340.00"
113,2024-10-02,8.91,8.91,8.57,8.57,-5.51,"4,000.00","35,130.00"
114,2024-10-01,8.53,9.07,8.53,9.07,4.25,"29,016.00","257,176.96"
115,2024-09-30,8.51,8.7,8.51,8.7,1.75,"4,490.00","38,886.00"
116,2024-09-29,8.53,8.7,8.53,8.55,-1.5,"4,210.00","35,995.30"
117,2024-09-26,8.52,8.68,8.52,8.68,1.76,"3,200.00","27,301.00"
118,2024-09-25,8.37,8.53,8.37,8.53,1.31,"8,615.00","73,125.95"
119,2024-09-24,8.4,8.43,8.4,8.42,-1.75,"5,400.00","45,435.00"
120,2024-09-23,8.55,8.57,8.41,8.57,-1.72,"2,300.00","19,558.00"
121,2024-09-22,8.99,8.99,8.72,8.72,-1.8,"4,385.00","38,334.15"
122,2024-09-18,8.7,8.88,8.7,8.88,0.11,"15,210.00","133,876.30"
123,2024-09-16,9.18,9.18,8.87,8.87,-5.24,"13,800.00","126,194.00"
124,2024-09-15,8.83,9.36,8.83,9.36,4.0,"29,150.00","264,183.50"
125,2024-09-12,8.68,9.15,8.68,9.0,2.04,"24,050.00","216,016.00"
126,2024-09-11,8.7,8.88,8.7,8.82,-0.34,"13,200.00","116,926.00"
127,2024-09-10,9.38,9.38,8.74,8.85,-3.8,"16,525.00","148,550.25"
128,2024-09-09,9.03,9.2,9.03,9.2,1.1,"11,069.00","101,595.40"
129,2024-09-08,8.94,9.24,8.94,9.1,-0.22,"19,700.00","178,876.00"
130,2024-09-05,9.25,9.25,9.08,9.12,-3.29,"73,150.00","676,363.00"
131,2024-09-04,9.44,9.46,9.43,9.43,-0.11,"38,485.00","363,520.55"
132,2024-09-03,9.5,9.5,9.43,9.44,-1.87,"44,265.00","418,256.45"
133,2024-09-02,9.65,9.84,9.3,9.62,-1.43,"11,920.00","113,456.00"
134,2024-09-01,9.2,9.95,9.2,9.76,6.78,"722,200.00","6,975,809.18"
135,2024-08-29,8.97,9.32,8.97,9.14,0.44,"67,513.00","613,374.82"
136,2024-08-28,9.29,9.44,9.09,9.1,-2.15,"93,610.00","872,392.90"
137,2024-08-27,9.33,9.5,9.22,9.3,-2.11,"138,399.00","1,287,717.45"
