S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-10,9.96,10.15,9.96,10.08,-0.10,"142,500.00","1,436,980.50"
2,2025-04-09,9.77,10.09,9.71,10.09,2.96,"103,500.00","1,043,125.00"
3,2025-04-08,9.68,9.8,9.68,9.8,0.51,"2,150.00","21,018.50"
4,2025-04-07,9.73,9.8,9.73,9.75,-0.61,"1,400.00","13,653.00"
5,2025-04-03,9.75,9.81,9.75,9.81,0.1,"1,022.00","9,995.60"
6,2025-04-02,9.74,9.8,9.74,9.8,-1.01,"1,900.00","18,550.00"
7,2025-04-01,9.71,9.9,9.71,9.9,1.02,"1,900.00","18,644.00"
8,2025-03-30,9.77,9.96,9.77,9.8,-0.61,"2,200.00","21,861.00"
9,2025-03-27,9.8,9.98,9.8,9.86,0.61,"11,100.00","110,178.00"
10,2025-03-26,9.82,9.82,9.7,9.8,-0.2,600.00,"5,872.00"
11,2025-03-25,9.85,10.02,9.81,9.82,-1.11,"21,050.00","207,264.00"
12,2025-03-24,9.66,9.94,9.5,9.93,0.81,"27,670.00","274,367.10"
13,2025-03-23,9.91,9.91,9.81,9.85,-0.61,"13,300.00","131,013.00"
14,2025-03-20,9.91,9.91,9.91,9.91,-0.9,"15,000.00","148,650.00"
15,2025-03-19,9.82,10.02,9.82,10.0,0.0,"8,900.00","88,966.00"
16,2025-03-18,10.08,10.09,9.81,10.0,1.01,"5,300.00","53,150.00"
17,2025-03-17,9.66,9.9,9.66,9.9,0.61,"18,480.00","182,687.00"
18,2025-03-16,9.63,9.84,9.63,9.84,0.41,400.00,"3,896.00"
19,2025-03-12,9.68,9.8,9.68,9.8,0.0,"1,400.00","13,690.00"
20,2025-03-11,9.63,9.96,9.63,9.8,-0.1,"17,760.00","173,545.30"
21,2025-03-10,9.82,10.0,9.68,9.81,-0.1,"1,600.00","15,773.00"
22,2025-03-09,9.94,10.19,9.82,9.82,-3.16,"555,900.00","5,477,573.30"
23,2025-03-06,10.0,10.14,10.0,10.14,0.9,"16,565.00","166,587.70"
24,2025-03-05,9.85,10.24,9.85,10.05,0.0,"7,200.00","72,992.00"
25,2025-03-04,10.02,10.21,10.01,10.05,-1.37,"6,550.00","66,100.50"
26,2025-03-03,9.65,10.19,9.65,10.19,3.77,"638,490.00","6,439,907.50"
27,2025-03-02,9.79,9.85,9.79,9.82,-1.01,"1,800.00","17,681.00"
28,2025-02-27,9.8,9.92,9.75,9.92,2.27,"1,500.00","14,707.00"
29,2025-02-25,9.55,9.89,9.55,9.7,0.0,"34,100.00","335,229.00"
30,2025-02-24,9.63,9.75,9.62,9.7,-1.12,"112,755.00","1,094,100.40"
31,2025-02-23,9.61,9.81,9.61,9.81,0.1,"17,700.00","173,321.00"
32,2025-02-20,9.92,9.92,9.62,9.8,0.41,"84,900.00","831,268.00"
33,2025-02-18,9.75,9.9,9.72,9.76,0.51,"73,925.00","726,427.75"
34,2025-02-17,9.65,9.8,9.65,9.71,0.94,"14,600.00","141,759.00"
35,2025-02-16,9.4,9.69,9.4,9.62,1.26,"6,550.00","63,343.00"
36,2025-02-13,9.84,9.84,9.5,9.5,-1.55,"21,950.00","211,657.00"
37,2025-02-12,9.7,9.72,9.6,9.65,-0.72,"3,100.00","29,968.00"
38,2025-02-11,9.71,9.72,9.71,9.72,2.1,"21,800.00","211,688.00"
39,2025-02-10,9.42,9.62,9.42,9.52,-0.83,"1,800.00","17,149.00"
40,2025-02-09,9.52,9.6,9.52,9.6,-1.03,500.00,"4,771.00"
41,2025-02-06,9.43,9.7,9.43,9.7,1.57,"1,200.00","11,471.00"
42,2025-02-05,9.71,9.71,9.39,9.55,0.32,"13,150.00","125,613.50"
43,2025-02-04,9.88,9.88,9.52,9.52,-1.86,"86,310.00","828,993.00"
44,2025-02-03,9.4,9.72,9.4,9.7,1.78,"19,300.00","186,950.00"
45,2025-02-02,9.34,9.62,9.34,9.53,0.32,"6,500.00","62,323.00"
46,2025-01-28,9.31,9.69,9.31,9.5,1.17,"1,300.00","12,287.00"
47,2025-01-27,9.56,9.63,9.39,9.39,-3.69,"202,600.00","1,908,201.00"
48,2025-01-26,9.45,9.75,9.45,9.75,1.99,"5,100.00","48,315.00"
49,2025-01-23,9.6,9.7,9.51,9.56,-0.62,900.00,"8,668.00"
50,2025-01-22,9.6,9.62,9.6,9.62,-1.64,800.00,"7,689.00"
51,2025-01-21,9.6,9.78,9.43,9.78,2.62,"6,480.00","63,105.40"
52,2025-01-20,9.63,9.7,9.53,9.53,0.85,"201,500.00","1,936,954.50"
53,2025-01-19,9.94,10.72,9.45,9.45,-3.08,"243,900.00","2,563,381.00"
54,2025-01-16,9.51,9.75,9.51,9.75,2.52,"149,300.00","1,428,993.00"
55,2025-01-15,9.89,10.08,9.51,9.51,-1.96,400.00,"3,936.00"
56,2025-01-13,9.65,9.8,9.65,9.7,-0.31,"3,800.00","36,982.00"
57,2025-01-12,9.8,9.81,9.62,9.73,-0.71,"4,900.00","47,937.00"
58,2025-01-09,9.77,9.81,9.71,9.8,-1.01,"136,510.00","1,337,746.00"
59,2025-01-08,9.81,9.9,9.81,9.9,1.02,"140,690.00","1,387,898.40"
60,2025-01-07,9.62,9.8,9.62,9.8,0.51,"22,500.00","220,456.00"
61,2025-01-06,9.94,10.72,9.56,9.75,0.0,"86,400.00","876,450.00"
62,2025-01-05,9.9,10.68,9.53,9.75,0.41,"28,286.00","299,199.92"
63,2025-01-02,9.7,9.71,9.7,9.71,0.0,"2,100.00","20,390.00"
64,2025-01-01,9.8,9.8,9.71,9.71,-1.12,"602,144.00","5,888,984.20"
65,2024-12-31,9.64,9.82,9.63,9.82,0.0,"109,606.00","1,056,212.28"
66,2024-12-29,9.55,9.82,9.55,9.82,1.45,"15,800.00","155,063.00"
67,2024-12-26,9.6,9.8,9.6,9.68,0.73,950.00,"9,217.00"
68,2024-12-24,9.7,9.7,9.61,9.61,1.05,"24,100.00","233,671.00"
69,2024-12-23,9.46,9.52,9.46,9.51,-0.31,600.00,"5,702.00"
70,2024-12-22,9.51,9.54,9.51,9.54,-1.65,800.00,"7,621.00"
71,2024-12-19,9.51,9.7,9.5,9.7,0.0,800.00,"7,717.00"
72,2024-12-18,9.51,9.7,9.51,9.7,0.0,"1,400.00","13,557.00"
73,2024-12-17,9.7,9.75,9.7,9.7,-0.92,950.00,"9,225.00"
74,2024-12-16,9.63,9.85,9.63,9.79,-0.2,"9,169.00","90,092.89"
75,2024-12-12,9.68,9.81,9.68,9.81,-0.41,500.00,"4,866.00"
76,2024-12-11,9.79,9.97,9.78,9.85,-1.3,"3,510.00","34,632.50"
77,2024-12-10,9.85,9.98,9.85,9.98,0.81,"16,270.00","161,052.50"
78,2024-12-09,9.81,9.9,9.81,9.9,0.41,200.00,"1,971.00"
79,2024-12-08,9.98,10.1,9.86,9.86,-1.79,"87,389.00","865,471.10"
80,2024-12-05,9.71,10.07,9.71,10.04,2.45,"66,500.00","660,706.00"
81,2024-12-04,9.99,10.15,9.8,9.8,-1.9,"172,060.00","1,692,806.60"
82,2024-12-03,9.87,10.0,9.87,9.99,-0.6,"5,300.00","52,927.00"
83,2024-12-02,9.8,10.05,9.8,10.05,1.01,"100,300.00","1,007,972.00"
84,2024-12-01,9.97,10.16,9.94,9.95,-2.07,"15,600.00","156,146.00"
85,2024-11-28,10.09,10.18,10.0,10.16,0.69,"145,360.00","1,460,076.90"
86,2024-11-27,9.9,10.09,9.9,10.09,0.1,"15,400.00","154,050.00"
87,2024-11-26,9.89,10.08,9.89,10.08,-0.1,"15,400.00","153,987.00"
88,2024-11-25,9.72,10.09,9.72,10.09,1.82,"112,500.00","1,111,073.60"
89,2024-11-24,10.0,10.08,9.91,9.91,-0.8,"24,350.00","242,276.00"
90,2024-11-21,9.78,10.03,9.78,9.99,0.91,"3,300.00","32,990.00"
91,2024-11-20,9.81,10.05,9.81,9.9,-0.1,"46,200.00","459,984.00"
92,2024-11-19,9.9,9.91,9.85,9.91,1.02,"11,600.00","114,828.00"
93,2024-11-17,9.79,10.06,9.79,9.81,0.82,"113,650.00","1,130,333.00"
94,2024-11-14,9.73,10.06,9.73,9.73,-1.42,"58,000.00","575,200.00"
95,2024-11-13,10.0,10.0,9.87,9.87,-1.3,"2,100.00","20,858.00"
96,2024-11-12,9.82,10.0,9.81,10.0,0.81,"17,830.00","175,464.80"
97,2024-11-11,10.07,10.35,9.91,9.92,-1.49,"386,600.00","3,973,715.60"
98,2024-11-10,9.6,10.07,9.5,10.07,5.33,"435,750.00","4,320,536.60"
99,2024-11-06,9.7,9.8,9.56,9.56,0.1,"99,900.00","970,839.00"
100,2024-11-05,9.77,9.77,9.55,9.55,-0.62,"56,150.00","537,835.50"
101,2024-10-30,9.43,9.61,9.43,9.61,0.31,"30,500.00","293,038.00"
102,2024-10-29,9.5,9.69,9.36,9.58,-1.14,"1,600.00","15,275.00"
103,2024-10-28,9.5,9.69,9.32,9.69,3.97,"1,650.00","15,732.50"
104,2024-10-27,9.26,9.62,9.26,9.32,-1.27,"101,675.00","968,631.00"
105,2024-10-24,9.5,9.5,9.33,9.44,-0.11,"19,330.00","182,318.90"
106,2024-10-23,9.54,9.54,9.25,9.45,0.96,"140,125.00","1,310,448.25"
107,2024-10-22,9.68,9.68,9.32,9.36,-1.47,"35,525.00","331,455.00"
108,2024-10-21,9.34,9.5,9.33,9.5,0.53,"19,400.00","181,083.00"
109,2024-10-20,9.39,9.57,9.39,9.45,0.43,"129,430.00","1,227,457.50"
110,2024-10-17,9.67,9.67,9.3,9.41,-1.05,"3,635.00","34,049.60"
111,2024-10-16,9.48,9.51,9.31,9.51,1.93,"137,350.00","1,284,585.00"
112,2024-10-15,8.99,9.37,8.99,9.33,4.36,"24,325.00","226,379.50"
113,2024-10-09,8.84,9.05,8.68,8.94,-0.67,"4,810.00","43,410.50"
114,2024-10-08,9.0,9.01,9.0,9.0,-1.75,"9,710.00","87,410.00"
115,2024-10-07,8.73,9.16,8.73,9.16,3.85,"265,431.00","2,423,014.96"
