S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-02,592.00,613.00,592.00,609.08,1.21,"9,047.00","5,485,728.10"
2,2025-04-01,614.10,614.10,597.00,601.79,-2.01,"17,986.00","10,841,461.70"
3,2025-03-30,614.10,618.30,605.30,614.13,1.27,"14,257.00","8,753,633.50"
4,2025-03-27,590.00,610.90,590.00,606.42,1.07,"19,585.00","11,766,896.40"
5,2025-03-26,591.00,602.00,585.20,600.00,1.69,"11,614.00","6,904,749.80"
6,2025-03-25,596.00,599.00,584.10,590.04,-2.40,"27,369.00","16,164,842.70"
7,2025-03-24,595.10,611.40,593.20,604.55,0.84,"10,797.00","6,515,497.20"
8,2025-03-23,610.00,610.00,598.00,599.50,-2.33,"25,318.00","15,262,309.80"
9,2025-03-20,620.00,620.00,613.60,613.82,-1.28,"12,287.00","7,555,571.60"
10,2025-03-19,628.00,631.00,620.00,621.80,-1.14,"10,510.00","6,555,267.60"
11,2025-03-18,629.90,634.90,625.00,629.00,-0.14,"7,598.00","4,765,969.70"
12,2025-03-17,630.00,634.80,623.00,629.90,0.48,"7,629.00","4,783,248.20"
13,2025-03-16,637.00,637.00,625.00,626.90,-1.59,"8,285.00","5,216,483.70"
14,2025-03-12,644.80,644.80,630.40,637.00,0.49,"16,569.00","10,594,568.90"
15,2025-03-11,635.00,640.00,626.00,633.90,-0.94,"25,977.00","16,441,829.50"
16,2025-03-10,642.00,650.00,630.00,639.90,-0.33,"24,375.00","15,506,463.00"
17,2025-03-09,645.00,660.00,637.00,642.00,-1.68,"26,159.00","16,808,081.40"
18,2025-03-06,667.00,667.00,644.00,653.00,-0.27,"26,380.00","17,114,529.30"
19,2025-03-05,665.00,665.00,648.00,654.80,-0.79,"32,941.00","21,616,836.50"
20,2025-03-04,656.00,680.00,656.00,660.00,-0.45,"35,858.00","24,039,014.60"
21,2025-03-03,685.00,685.00,660.00,663.00,-1.34,"55,954.00","37,672,885.70"
22,2025-03-02,661.00,673.00,650.00,672.00,3.62,"58,205.00","38,600,317.30"
23,2025-02-27,650.00,650.00,637.10,648.50,0.57,"19,412.00","12,468,071.30"
24,2025-02-25,650.00,650.00,638.00,644.80,-0.78,"39,789.00","25,505,753.90"
25,2025-02-24,655.00,655.00,643.10,649.90,-0.47,"26,045.00","16,934,970.90"
26,2025-02-23,660.80,661.50,647.70,653.00,-1.36,"21,374.00","13,948,854.70"
27,2025-02-20,664.00,675.10,651.10,662.00,1.21,"35,453.00","23,530,884.30"
28,2025-02-18,662.00,662.00,652.00,654.10,0.62,"18,019.00","11,798,517.70"
29,2025-02-17,650.00,660.00,641.00,650.10,1.74,"26,307.00","17,139,603.00"
30,2025-02-16,633.00,642.00,633.00,639.00,0.33,"12,290.00","7,864,873.00"
31,2025-02-13,640.00,643.00,635.10,636.90,-1.10,"25,912.00","16,544,076.90"
32,2025-02-12,650.00,652.00,638.20,644.00,-1.98,"53,115.00","34,251,766.60"
33,2025-02-11,670.00,670.00,657.00,657.00,-1.78,"15,054.00","9,994,038.80"
34,2025-02-10,676.00,676.00,661.00,668.90,-0.16,"29,780.00","19,786,827.40"
35,2025-02-09,683.40,683.40,658.00,670.00,0.00,"19,289.00","12,912,425.90"
36,2025-02-06,670.00,675.00,660.40,670.00,-0.06,"32,721.00","21,807,831.70"
37,2025-02-05,667.00,683.00,667.00,670.40,-0.24,"33,100.00","22,286,797.40"
38,2025-02-04,696.50,696.50,668.00,672.00,-1.60,"39,019.00","26,384,043.60"
39,2025-02-03,677.00,710.00,674.00,682.90,2.38,"178,955.00","123,817,738.10"
40,2025-02-02,650.00,671.10,650.00,667.00,3.89,"54,876.00","36,481,391.60"
41,2025-01-28,628.00,653.00,628.00,642.00,0.63,"30,119.00","19,334,467.90"
42,2025-01-27,643.00,654.00,634.00,638.00,-0.78,"10,247.00","6,577,711.70"
43,2025-01-26,645.00,659.00,640.00,643.00,-1.08,"17,431.00","11,275,617.20"
44,2025-01-23,674.00,674.00,642.00,650.00,-1.96,"23,515.00","15,287,583.80"
45,2025-01-22,644.00,664.90,644.00,663.00,3.17,"41,562.00","27,206,357.40"
46,2025-01-21,610.30,647.00,603.70,642.60,4.32,"53,232.00","33,641,571.50"
47,2025-01-20,621.00,621.00,611.50,616.00,0.49,"6,286.00","3,872,949.90"
48,2025-01-19,606.00,615.00,606.00,613.00,-0.33,"5,530.00","3,386,260.80"
49,2025-01-16,606.00,616.40,605.00,615.00,1.45,"14,607.00","8,872,100.10"
50,2025-01-15,620.00,624.00,603.10,606.20,-0.96,"12,118.00","7,372,884.30"
51,2025-01-13,620.00,625.00,608.40,612.10,-0.95,"18,321.00","11,222,647.80"
52,2025-01-12,630.30,630.30,617.90,618.00,0.00,"8,304.00","5,143,810.60"
53,2025-01-09,623.50,624.60,618.00,618.00,-1.44,"14,803.00","9,191,146.80"
54,2025-01-08,646.60,646.60,617.40,627.00,-1.10,"24,884.00","15,642,398.20"
55,2025-01-07,629.00,638.00,627.00,634.00,0.63,"11,778.00","7,440,309.50"
