S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-05-13,"2,506.70","2,703.30","2,274.00","2,304.70",-6.22,"217,680.00","512,531,348.20"
2,2025-05-11,"2,278.80","2,457.60","2,278.80","2,457.60",10.0,"29,180.00","71,697,241.00"
3,2025-05-08,"2,071.70","2,234.20","2,071.70","2,234.20",10.0,"15,950.00","35,623,382.00"
4,2025-05-07,"1,883.40","2,031.10","1,883.40","2,031.10",10.0,"4,840.00","9,823,949.00"
5,2025-05-06,"1,712.00","1,846.50","1,712.00","1,846.50",10.0,"1,540.00","2,840,310.00"
6,2025-05-05,"1,556.60","1,678.70","1,556.60","1,678.70",10.0,"1,500.00","2,510,172.00"
7,2025-05-04,"1,387.60","1,526.10","1,387.60","1,526.10",10.0,"1,410.00","2,147,703.00"
8,2025-04-30,"1,238.50","1,387.40","1,238.50","1,387.40",10.0,810.0,"1,118,666.00"
9,2025-04-29,"1,169.60","1,261.30","1,169.60","1,261.30",9.99,840.0,"1,057,242.00"
10,2025-04-28,"1,042.00","1,146.70","1,042.00","1,146.70",10.0,850.0,"971,581.00"
11,2025-04-27,966.70,"1,042.50",966.70,"1,042.50",9.99,940.0,"978,092.00"
12,2025-04-24,878.9,947.8,878.9,947.8,9.99,530.0,"500,643.00"
13,2025-04-23,799.0,861.7,799.0,861.7,9.99,650.0,"558,564.00"
14,2025-04-22,712.2,783.4,712.2,783.4,10.0,590.0,"459,384.00"
15,2025-04-21,660.4,712.2,660.4,712.2,9.99,530.0,"376,195.00"
16,2025-04-20,600.4,647.5,600.4,647.5,9.99,440.0,"283,744.00"
17,2025-04-17,536.3,588.7,536.3,588.7,10.0,370.0,"216,289.00"
18,2025-04-16,496.3,535.2,496.3,535.2,9.99,330.0,"175,662.00"
19,2025-04-15,449.7,486.6,449.7,486.6,9.99,230.0,"110,614.00"
20,2025-04-13,410.2,442.4,410.2,442.4,10.0,210.0,"91,147.00"
21,2025-04-10,373.0,402.2,373.0,402.2,9.98,277.0,"110,382.90"
22,2025-04-09,332.6,365.7,332.6,365.7,9.98,170.0,"60,856.00"
23,2025-04-08,302.3,332.5,302.3,332.5,9.99,210.0,"68,624.00"
