S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-02,731.00,731.00,705.10,716.00,-0.15,"4,072.00","2,915,981.80"
2,2025-04-01,715.00,720.00,708.00,717.04,-0.15,"5,092.00","3,638,024.20"
3,2025-03-30,705.00,729.00,705.00,718.09,1.24,"6,717.00","4,832,703.00"
4,2025-03-27,690.00,711.00,690.00,709.27,1.40,"8,593.00","6,040,791.60"
5,2025-03-26,680.60,700.50,680.60,699.50,1.29,"7,171.00","4,984,434.90"
6,2025-03-25,709.00,710.00,685.30,690.57,-2.24,"11,077.00","7,725,728.40"
7,2025-03-24,695.10,714.50,695.10,706.39,-0.27,"4,680.00","3,304,571.00"
8,2025-03-23,717.00,717.90,706.00,708.27,-1.60,"14,093.00","10,016,949.00"
9,2025-03-20,716.00,723.90,712.50,719.81,-0.44,"5,551.00","3,977,775.10"
10,2025-03-19,711.00,738.40,710.00,723.00,0.40,"11,243.00","8,127,519.50"
11,2025-03-18,721.00,728.00,720.00,720.10,-0.62,"6,302.00","4,549,474.50"
12,2025-03-17,719.00,725.00,719.00,724.60,-0.19,"11,385.00","8,226,063.30"
13,2025-03-16,718.00,735.00,717.00,726.00,-0.41,"9,589.00","6,973,998.30"
14,2025-03-12,724.00,739.40,720.00,729.00,-0.68,"6,481.00","4,735,314.20"
15,2025-03-11,731.20,740.00,730.30,734.00,-0.68,"14,120.00","10,380,950.30"
16,2025-03-10,749.90,749.90,735.00,739.00,-0.03,"10,107.00","7,463,475.70"
17,2025-03-09,760.00,760.00,736.60,739.20,-1.44,"12,846.00","9,550,276.30"
18,2025-03-06,744.00,750.00,740.10,750.00,0.67,"19,782.00","14,697,063.60"
19,2025-03-05,746.10,761.00,740.20,745.00,-2.04,"12,887.00","9,595,771.70"
20,2025-03-04,760.00,775.00,753.00,760.50,-0.05,"17,803.00","13,588,606.90"
21,2025-03-03,763.00,765.00,740.70,760.90,0.81,"40,443.00","30,696,888.70"
22,2025-03-02,745.00,754.90,742.00,754.80,2.00,"19,676.00","14,731,123.10"
23,2025-02-27,752.00,752.00,729.00,740.00,0.37,"8,902.00","6,555,470.90"
24,2025-02-25,733.30,744.00,731.10,737.30,-0.36,"13,745.00","10,162,457.60"
