S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-22,652.00,652.00,642.00,643.56,-1.43,"5,320.00","3,426,407.90"
2,2025-04-21,637.07,659.0,630.0,652.92,2.49,"28,142.00","18,086,689.60"
3,2025-04-20,645.0,648.0,635.0,637.07,-1.14,"11,236.00","7,201,432.00"
4,2025-04-17,640.0,647.0,634.0,644.39,1.11,"8,980.00","5,774,729.50"
5,2025-04-16,638.0,641.0,634.0,637.33,0.42,"11,402.00","7,259,393.70"
6,2025-04-15,632.0,642.0,630.0,634.66,0.71,"7,602.00","4,818,839.50"
7,2025-04-13,631.07,635.0,625.2,630.21,-0.14,"9,034.00","5,677,446.90"
8,2025-04-10,633.01,642.9,629.0,631.07,-0.31,"7,890.00","4,979,519.60"
9,2025-04-09,632.0,639.0,631.2,633.01,0.33,"7,771.00","4,925,550.90"
10,2025-04-08,630.0,640.0,628.0,630.93,-1.41,"14,237.00","8,991,286.20"
11,2025-04-07,640.0,648.0,633.0,639.97,0.23,"12,541.00","7,996,923.20"
12,2025-04-03,652.0,665.0,638.0,638.48,-0.15,"10,197.00","6,548,875.00"
13,2025-04-02,644.7,670.0,638.1,639.43,-0.82,"17,248.00","11,124,884.90"
14,2025-04-01,643.0,645.0,638.0,644.7,0.14,"15,146.00","9,706,427.80"
15,2025-03-30,648.0,665.9,640.0,643.83,0.41,"29,462.00","19,222,833.90"
16,2025-03-27,625.0,650.0,625.0,641.23,0.74,"13,503.00","8,664,438.30"
17,2025-03-26,626.0,640.0,626.0,636.51,1.68,"18,538.00","11,799,735.70"
18,2025-03-25,645.0,645.0,625.0,625.97,-3.4,"22,063.00","13,920,716.10"
19,2025-03-24,631.3,650.0,631.2,648.01,1.38,"14,181.00","9,114,169.00"
20,2025-03-23,647.2,660.0,639.0,639.18,-2.87,"16,709.00","10,764,785.10"
21,2025-03-20,664.9,664.9,656.0,658.09,-1.02,"12,043.00","7,942,569.80"
22,2025-03-19,669.9,670.0,657.1,664.9,-0.46,"15,648.00","10,353,479.50"
23,2025-03-18,668.0,673.0,660.3,668.0,0.59,"11,141.00","7,411,743.80"
24,2025-03-17,661.0,672.0,660.0,664.1,0.47,"11,685.00","7,771,246.30"
25,2025-03-16,658.7,671.8,658.7,661.0,-1.2,"13,052.00","8,637,668.40"
26,2025-03-12,666.0,678.8,661.0,669.0,0.15,"21,105.00","14,107,140.30"
27,2025-03-11,688.0,701.0,665.0,668.0,-1.04,"21,336.00","14,311,508.90"
28,2025-03-10,696.6,696.6,669.0,675.0,-1.17,"36,185.00","24,558,817.70"
29,2025-03-09,700.0,710.0,678.1,683.0,-3.67,"104,597.00","72,084,881.40"
30,2025-03-06,737.0,737.0,700.0,709.0,-2.61,"73,728.00","52,244,327.40"
31,2025-03-05,755.0,767.0,728.0,728.0,-3.06,"50,218.00","37,047,269.00"
32,2025-03-04,740.0,751.5,728.0,751.0,2.18,"124,770.00","92,290,858.50"
33,2025-03-03,723.9,738.0,718.0,735.0,1.8,"97,795.00","71,337,119.70"
34,2025-03-02,710.0,722.0,701.0,722.0,2.7,"73,045.00","52,135,331.70"
35,2025-02-27,704.1,713.0,694.0,703.0,-0.14,"22,384.00","15,755,091.40"
36,2025-02-25,719.0,721.8,704.0,704.0,-1.74,"29,694.00","21,050,883.00"
37,2025-02-24,729.0,729.0,707.1,716.5,-0.33,"70,348.00","50,216,698.30"
38,2025-02-23,687.0,720.0,680.0,718.9,2.55,"63,114.00","44,293,627.50"
39,2025-02-20,712.8,712.8,693.0,701.0,0.17,"22,771.00","15,968,137.70"
40,2025-02-18,691.4,706.0,691.4,699.8,0.69,"29,862.00","20,961,418.30"
41,2025-02-17,698.9,703.0,693.0,695.0,0.0,"26,898.00","18,763,752.90"
42,2025-02-16,692.0,699.8,689.2,695.0,0.43,"14,590.00","10,102,308.40"
43,2025-02-13,700.0,703.0,690.0,692.0,-0.29,"23,282.00","16,139,607.50"
44,2025-02-12,683.0,703.0,683.0,694.0,1.02,"48,132.00","33,604,891.90"
45,2025-02-11,703.0,714.9,687.0,687.0,-2.28,"20,077.00","13,947,251.60"
46,2025-02-10,693.0,703.0,692.0,703.0,0.0,"24,866.00","17,295,115.90"
47,2025-02-09,705.0,718.9,699.8,703.0,-0.42,"35,480.00","25,038,597.20"
48,2025-02-06,721.0,721.0,698.0,706.0,-0.98,"29,303.00","20,731,082.70"
49,2025-02-05,692.0,723.0,692.0,713.0,1.86,"74,625.00","53,191,557.70"
50,2025-02-04,717.0,717.0,694.0,700.0,-1.31,"47,910.00","33,520,276.60"
51,2025-02-03,705.0,720.0,691.1,709.3,0.61,"70,273.00","49,692,244.50"
52,2025-02-02,670.0,722.1,663.1,705.0,5.22,"53,305.00","36,673,213.40"
53,2025-01-28,660.0,673.0,642.2,670.0,2.29,"24,447.00","16,206,394.20"
54,2025-01-27,675.2,675.2,649.1,655.0,-1.06,"9,802.00","6,427,215.80"
55,2025-01-26,652.0,678.0,652.0,662.0,-0.3,"15,199.00","10,117,840.80"
56,2025-01-23,675.0,681.9,658.0,664.0,-1.78,"13,303.00","8,897,104.20"
57,2025-01-22,672.0,681.0,668.0,676.0,0.9,"29,346.00","19,814,685.60"
58,2025-01-21,658.9,692.9,640.0,670.0,3.55,"49,626.00","33,481,757.60"
59,2025-01-20,645.0,654.0,641.0,647.0,0.95,"9,666.00","6,254,198.20"
60,2025-01-19,617.6,643.0,617.6,640.9,1.73,"9,255.00","5,900,326.60"
61,2025-01-16,631.3,638.0,627.1,630.0,-0.79,"5,046.00","3,193,615.20"
62,2025-01-15,648.0,648.0,631.0,635.0,-0.16,"6,479.00","4,114,897.30"
63,2025-01-13,638.0,650.0,626.0,636.0,-1.4,"21,390.00","13,526,048.00"
64,2025-01-12,650.0,660.0,645.0,645.0,-1.68,"8,928.00","5,787,642.80"
65,2025-01-09,664.0,670.0,656.0,656.0,-1.34,"13,353.00","8,853,523.30"
66,2025-01-08,664.0,673.0,656.2,664.9,0.14,"13,312.00","8,805,383.20"
67,2025-01-07,670.0,673.9,660.5,664.0,-0.45,"16,553.00","11,022,466.80"
68,2025-01-06,673.0,673.0,658.0,667.0,1.06,"21,601.00","14,361,100.00"
69,2025-01-05,650.0,674.2,650.0,660.0,1.85,"28,879.00","19,197,419.90"
70,2025-01-02,623.3,658.0,623.3,648.0,1.89,"135,220.00","86,163,670.50"
71,2025-01-01,617.0,640.0,617.0,636.0,1.76,"136,322.00","84,762,945.50"
72,2024-12-31,645.0,645.0,617.5,625.0,-1.19,"5,655.00","3,523,458.20"
73,2024-12-29,628.0,633.0,623.3,632.5,1.12,"7,294.00","4,592,497.30"
74,2024-12-26,625.0,632.0,621.0,625.5,-0.71,"3,193.00","2,001,409.00"
75,2024-12-24,637.0,640.0,625.0,630.0,0.64,"10,994.00","6,979,291.30"
76,2024-12-23,624.2,629.8,619.0,626.0,0.32,"12,085.00","7,526,420.50"
77,2024-12-22,621.0,630.0,616.3,624.0,0.06,"8,765.00","5,452,835.00"
78,2024-12-19,632.0,640.0,622.7,623.6,-1.33,"12,894.00","8,123,168.40"
79,2024-12-18,630.0,640.0,630.0,632.0,-0.22,"7,328.00","4,629,558.10"
80,2024-12-17,634.1,640.0,629.0,633.4,-0.09,"7,736.00","4,915,149.70"
81,2024-12-16,642.0,644.0,627.8,634.0,-1.25,"17,629.00","11,155,659.30"
82,2024-12-12,645.0,667.0,641.0,642.0,-1.83,"9,080.00","5,884,965.20"
83,2024-12-11,650.0,654.0,640.2,654.0,1.08,"6,532.00","4,215,152.80"
84,2024-12-10,657.9,657.9,643.1,647.0,0.29,"12,368.00","7,989,108.90"
85,2024-12-09,643.0,660.9,639.0,645.1,-0.6,"10,857.00","7,057,009.90"
86,2024-12-08,658.0,658.0,642.4,649.0,-1.37,"19,110.00","12,378,406.30"
87,2024-12-05,666.0,668.0,655.0,658.0,-1.33,"14,479.00","9,557,382.40"
88,2024-12-04,681.0,681.0,661.2,666.9,-0.31,"15,520.00","10,344,874.80"
89,2024-12-03,697.0,697.0,668.1,669.0,-2.34,"17,000.00","11,503,035.50"
90,2024-12-02,682.0,695.0,666.0,685.0,2.09,"38,790.00","26,427,860.00"
91,2024-12-01,653.0,671.0,641.0,671.0,0.71,"28,418.00","18,716,055.00"
92,2024-11-28,690.0,690.0,666.0,666.3,-1.73,"13,565.00","9,101,723.80"
