S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-02,"1,120.40","1,120.40","1,120.40","1,120.40",0.03,25.00,"28,010.00"
2,2025-04-01,"1,120.10","1,120.10","1,120.10","1,120.10",0.01,25.00,"28,002.50"
3,2025-03-26,"1,120.00","1,120.00","1,120.00","1,120.00",0.00,27.00,"30,240.00"
4,2025-03-25,"1,115.10","1,115.10","1,115.10","1,120.00",0.44,2.00,"2,240.00"
5,2025-03-24,"1,115.70","1,115.70","1,115.70","1,115.10",-0.05,4.00,"4,460.40"
6,2025-03-23,"1,115.10","1,115.10","1,115.10","1,115.70",0.05,4.00,"4,462.80"
7,2025-03-20,"1,114.70","1,116.00","1,114.70","1,115.10",0.06,75.00,"83,641.40"
8,2025-03-19,"1,114.40","1,114.40","1,114.40","1,114.40",-0.23,25.00,"27,860.00"
9,2025-03-18,"1,116.00","1,120.00","1,116.00","1,117.00",0.08,75.00,"83,825.00"
10,2025-03-17,"1,116.10","1,116.10","1,116.10","1,116.10",-1.48,3.00,"3,348.30"
11,2025-03-12,"1,132.90","1,132.90","1,132.90","1,132.90",-2.00,50.00,"56,645.00"
12,2025-02-24,"1,156.00","1,156.00","1,156.00","1,156.00",0.00,50.00,"57,800.00"
13,2025-02-23,"1,156.00","1,156.00","1,156.00","1,156.00",2.66,119.00,"137,534.00"
14,2025-02-20,"1,126.00","1,126.00","1,126.00","1,126.00",0.18,25.00,"28,150.00"
15,2025-02-17,"1,124.00","1,124.00","1,124.00","1,124.00",-1.40,25.00,"28,100.00"
16,2025-02-12,"1,140.00","1,140.00","1,140.00","1,140.00",-0.44,55.00,"62,700.00"
17,2025-02-09,"1,145.00","1,145.00","1,145.00","1,145.00",-1.29,25.00,"28,625.00"
18,2025-02-05,"1,160.00","1,160.00","1,160.00","1,160.00",-1.69,25.00,"29,000.00"
19,2025-02-02,"1,180.00","1,180.00","1,180.00","1,180.00",5.17,508.00,"599,198.00"
20,2025-01-27,"1,122.00","1,122.00","1,122.00","1,122.00",-1.23,25.00,"28,050.00"
21,2025-01-26,"1,136.00","1,136.00","1,136.00","1,136.00",0.07,25.00,"28,400.00"
22,2025-01-22,"1,135.20","1,135.20","1,135.20","1,135.20",1.99,4.00,"4,540.80"
23,2025-01-21,"1,158.00","1,158.00","1,113.00","1,113.00",-5.76,405.00,"456,360.00"
24,2025-01-12,"1,181.00","1,181.00","1,181.00","1,181.00",-1.99,100.00,"118,100.00"
25,2025-01-05,"1,205.00","1,205.00","1,205.00","1,205.00",5.24,350.00,"421,569.70"
26,2024-12-31,"1,145.00","1,145.00","1,145.00","1,145.00",-0.43,25.00,"28,625.00"
27,2024-12-29,"1,173.00","1,173.00","1,150.00","1,150.00",0.00,147.00,"172,201.00"
28,2024-12-26,"1,150.00","1,150.00","1,150.00","1,150.00",-0.69,25.00,"28,750.00"
29,2024-12-24,"1,158.00","1,158.00","1,158.00","1,158.00",-1.95,90.00,"104,220.00"
30,2024-12-23,"1,144.00","1,205.00","1,144.00","1,181.00",3.23,515.00,"617,806.50"
31,2024-12-22,"1,144.00","1,144.00","1,144.00","1,144.00",-1.97,25.00,"28,600.00"
32,2024-12-18,"1,167.00","1,167.00","1,167.00","1,167.00",-1.93,20.00,"23,340.00"
