S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-21,"1,018.90","1,018.90",986.00,992.53,-1.18,"273,169.00","272,349,661.00"
2,2025-04-20,"1,025.00","1,030.00","1,000.10","1,004.34",-1.04,"184,072.00","185,747,341.50"
3,2025-04-17,"1,024.00","1,035.00","1,008.90","1,014.93",0.12,"343,856.00","351,043,671.60"
4,2025-04-16,"1,030.00","1,039.90","1,011.00","1,013.75",-1.05,"239,943.00","244,243,815.30"
5,2025-04-15,"1,011.00","1,043.00","1,011.00","1,024.49",1.29,"302,559.00","312,088,728.20"
6,2025-04-13,"1,029.70","1,040.00","1,010.00","1,011.41",-1.78,"386,237.00","393,424,714.60"
7,2025-04-10,"1,045.00","1,059.00","1,027.10","1,029.73",-1.27,"295,013.00","305,045,052.30"
8,2025-04-09,"1,038.00","1,054.70","1,036.20","1,042.96",0.32,"262,170.00","274,401,173.50"
9,2025-04-08,"1,064.40","1,064.40","1,016.10","1,039.66",-0.38,"394,776.00","406,582,599.20"
10,2025-04-07,"1,060.00","1,075.00","1,040.00","1,043.62",-1.38,"475,547.00","503,608,984.60"
11,2025-04-03,"1,031.00","1,061.90","1,022.00","1,058.17",2.7,"690,450.00","723,238,860.00"
12,2025-04-02,"1,041.00","1,041.00","1,019.90","1,030.32",0.95,"339,935.00","350,651,055.70"
13,2025-04-01,"1,040.50","1,053.00","1,010.00","1,020.60",-1.93,"627,309.00","642,566,622.80"
14,2025-03-30,"1,019.00","1,060.00","1,001.00","1,040.68",2.06,"664,401.00","691,977,411.70"
15,2025-03-27,982.00,"1,023.00",975.00,"1,019.71",4.21,"508,860.00","511,817,714.50"
16,2025-03-26,936.00,989.00,936.00,978.47,4.15,"432,277.00","418,678,148.70"
17,2025-03-25,962.00,962.00,935.10,939.44,-2.32,"246,173.00","232,007,165.20"
18,2025-03-24,937.00,969.60,926.00,961.79,2.58,"343,205.00","326,977,578.00"
19,2025-03-23,965.10,966.10,935.10,937.62,-2.74,"445,109.00","420,634,981.40"
20,2025-03-20,977.00,986.00,961.00,964.06,-1.32,"238,596.00","231,236,057.30"
21,2025-03-19,986.00,996.00,966.30,977.00,-0.91,"302,680.00","296,732,682.00"
22,2025-03-18,984.00,"1,007.90",984.00,986.00,0.2,"323,111.00","321,117,892.80"
23,2025-03-17,"1,000.00","1,015.00",981.10,984.00,-1.5,"440,373.00","439,368,210.30"
24,2025-03-16,"1,043.00","1,043.00",997.00,999.00,-3.21,"582,670.00","586,608,348.20"
25,2025-03-12,"1,018.00","1,040.00","1,010.00","1,032.10",1.39,"545,271.00","560,402,825.80"
26,2025-03-11,"1,058.10","1,070.00","1,011.00","1,018.00",-3.8,"565,743.00","586,517,044.10"
