S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-02,493.00,511.00,493.00,503.13,0.02,"35,587.00","17,970,994.00"
2,2025-04-01,497.50,513.90,490.00,503.03,-0.91,"68,975.00","34,425,292.90"
3,2025-03-30,472.60,516.00,466.90,507.63,5.28,"102,321.00","51,651,825.60"
4,2025-03-27,462.00,488.00,457.10,482.19,4.24,"51,021.00","24,286,696.90"
5,2025-03-26,455.00,468.00,447.00,462.58,3.02,"33,210.00","15,255,843.90"
6,2025-03-25,463.00,468.00,446.00,449.02,-4.28,"43,749.00","19,860,715.20"
7,2025-03-24,460.00,479.00,451.00,469.12,1.13,"36,273.00","16,948,998.80"
8,2025-03-23,483.00,483.00,461.60,463.88,-3.86,"58,090.00","27,269,818.40"
9,2025-03-20,489.00,493.00,480.00,482.49,-1.93,"39,732.00","19,270,690.20"
10,2025-03-19,497.00,500.00,486.00,492.00,-1.58,"38,073.00","18,717,395.50"
11,2025-03-18,501.00,512.50,496.00,499.90,-0.62,"23,073.00","11,581,438.20"
12,2025-03-17,505.10,512.90,497.10,503.00,-0.96,"25,109.00","12,603,804.00"
13,2025-03-16,516.00,519.00,494.00,507.90,-1.76,"90,028.00","45,436,668.30"
14,2025-03-12,512.00,523.00,510.00,517.00,0.98,"34,685.00","17,945,374.70"
15,2025-03-11,536.50,536.50,511.00,512.00,-2.66,"56,232.00","29,225,792.50"
16,2025-03-10,505.70,534.90,505.70,526.00,1.94,"78,376.00","41,289,139.20"
17,2025-03-09,539.00,542.00,516.00,516.00,-4.18,"107,428.00","56,457,283.80"
18,2025-03-06,553.80,557.80,538.00,538.50,-0.83,"77,991.00","42,393,844.20"
19,2025-03-05,540.00,548.00,535.00,543.00,-0.55,"71,939.00","38,899,231.20"
20,2025-03-04,590.00,590.00,546.00,546.00,-7.46,"308,933.00","174,557,196.00"
21,2025-03-03,598.70,645.00,589.20,590.00,0.51,"332,013.00","201,290,765.50"
22,2025-03-02,584.00,596.90,582.00,587.00,0.69,"80,476.00","47,480,663.00"
23,2025-02-27,591.60,598.50,576.00,583.00,0.52,"111,054.00","65,379,548.60"
24,2025-02-25,592.00,600.00,580.00,580.00,-1.86,"87,023.00","51,243,639.70"
25,2025-02-24,601.00,622.10,585.10,591.00,-3.59,"149,910.00","90,786,006.80"
26,2025-02-23,590.00,622.00,567.00,613.00,3.90,"203,940.00","122,402,893.50"
27,2025-02-20,590.00,596.00,581.00,590.00,-0.84,"88,361.00","51,989,974.40"
28,2025-02-18,597.00,615.00,593.10,595.00,-0.83,"161,310.00","97,264,075.00"
29,2025-02-17,599.00,605.00,580.00,600.00,1.69,"195,709.00","115,617,822.70"
30,2025-02-16,595.00,606.90,585.10,590.00,-0.84,"141,787.00","84,355,101.20"
31,2025-02-13,584.00,599.00,569.00,595.00,1.88,"255,634.00","149,466,679.80"
32,2025-02-12,585.00,601.60,573.30,584.00,-1.52,"212,568.00","125,289,224.50"
33,2025-02-11,615.00,619.00,587.00,593.00,-1.66,"207,722.00","125,242,687.80"
34,2025-02-10,545.00,605.00,545.00,603.00,8.84,"424,300.00","244,478,099.90"
35,2025-02-09,553.00,563.00,544.70,554.00,0.36,"206,740.00","114,407,748.70"
36,2025-02-06,521.40,556.00,521.40,552.00,3.76,"208,158.00","113,388,461.10"
37,2025-02-05,540.00,543.80,519.10,532.00,-0.56,"115,015.00","60,703,554.60"
38,2025-02-04,550.00,571.00,534.00,535.00,-2.73,"157,501.00","86,271,756.50"
39,2025-02-03,555.00,588.50,537.00,550.00,-1.96,"173,669.00","95,171,540.50"
40,2025-02-02,553.00,573.20,551.00,561.00,2.37,"204,884.00","115,462,330.30"
41,2025-01-28,510.00,551.00,510.00,548.00,7.03,"292,463.00","157,744,699.90"
42,2025-01-27,520.10,533.00,508.30,512.00,-2.85,"134,996.00","69,928,135.60"
43,2025-01-26,537.00,546.00,519.50,527.00,-1.86,"159,793.00","85,327,577.20"
44,2025-01-23,505.00,539.00,505.00,537.00,6.34,"251,343.00","131,721,391.20"
45,2025-01-22,502.00,520.00,502.00,505.00,-1.02,"147,410.00","75,784,962.50"
46,2025-01-21,486.00,512.00,484.00,510.20,3.49,"119,584.00","59,839,673.40"
47,2025-01-20,500.00,507.00,478.00,493.00,-0.82,"147,973.00","73,007,352.70"
48,2025-01-19,466.00,504.80,462.00,497.10,7.37,"209,217.00","102,603,899.50"
49,2025-01-16,462.00,475.30,456.20,463.00,0.22,"72,564.00","33,704,747.20"
50,2025-01-15,440.20,469.00,440.20,462.00,3.80,"42,249.00","19,529,933.80"
51,2025-01-13,457.00,461.00,445.00,445.10,-2.41,"41,646.00","18,797,710.80"
52,2025-01-12,429.00,469.00,429.00,456.10,4.87,"60,008.00","27,118,738.50"
53,2025-01-09,439.00,445.00,431.70,434.90,-1.27,"25,719.00","11,246,730.50"
54,2025-01-08,434.20,449.90,434.20,440.50,-0.56,"18,727.00","8,282,494.30"
55,2025-01-07,432.20,449.80,432.20,443.00,0.45,"19,810.00","8,779,030.70"
56,2025-01-06,432.00,442.00,422.00,441.00,3.28,"26,300.00","11,471,760.20"
57,2025-01-05,420.00,430.00,420.00,427.00,0.49,"12,808.00","5,469,598.60"
58,2025-01-02,430.00,430.00,421.50,424.90,0.00,"11,497.00","4,878,467.50"
59,2025-01-01,438.00,438.40,422.10,424.90,-1.19,"14,111.00","6,041,521.30"
60,2024-12-31,430.30,431.00,419.50,430.00,-2.03,"35,170.00","14,930,060.30"
61,2024-12-29,445.00,447.50,432.10,438.90,-0.25,"9,071.00","3,977,081.90"
62,2024-12-26,441.00,449.00,432.60,440.00,-2.18,"43,117.00","18,860,812.90"
63,2024-12-24,438.00,457.90,438.00,449.80,1.12,"20,945.00","9,387,914.60"
64,2024-12-23,430.00,445.00,430.00,444.80,2.51,"16,757.00","7,397,821.60"
65,2024-12-22,433.00,441.60,427.00,433.90,0.21,"14,527.00","6,294,745.40"
66,2024-12-19,433.00,440.00,428.10,433.00,-0.92,"16,998.00","7,352,859.10"
67,2024-12-18,438.50,447.00,430.10,437.00,-0.34,"13,746.00","6,009,606.20"
68,2024-12-17,435.30,448.00,435.30,438.50,-0.57,"9,890.00","4,373,912.10"
69,2024-12-16,450.00,450.00,440.00,441.00,-2.00,"23,961.00","10,618,920.00"
70,2024-12-12,474.00,474.00,448.90,450.00,-3.43,"24,082.00","11,057,105.60"
71,2024-12-11,444.10,466.00,444.10,466.00,2.87,"16,853.00","7,640,678.30"
72,2024-12-10,450.00,454.00,445.10,453.00,-0.22,"11,808.00","5,293,151.50"
73,2024-12-09,447.00,459.00,439.10,454.00,1.57,"29,777.00","13,249,879.30"
74,2024-12-08,451.10,461.90,445.10,447.00,-2.83,"30,256.00","13,694,349.80"
75,2024-12-05,462.00,470.00,451.10,460.00,-2.11,"33,713.00","15,518,142.40"
76,2024-12-04,461.00,483.00,461.00,469.90,-0.02,"27,797.00","13,121,594.10"
77,2024-12-03,472.00,479.00,466.20,470.00,0.00,"32,565.00","15,343,741.80"
78,2024-12-02,465.00,477.20,465.00,470.00,0.45,"40,462.00","19,100,065.80"
79,2024-12-01,465.00,473.20,460.00,467.90,0.06,"44,365.00","20,683,437.30"
80,2024-11-28,486.80,486.80,467.00,467.60,-2.56,"31,529.00","14,872,148.60"
81,2024-11-27,466.50,485.00,466.50,479.90,0.82,"41,191.00","19,720,522.30"
82,2024-11-26,465.00,482.00,455.00,476.00,2.61,"36,238.00","17,019,602.80"
83,2024-11-25,460.00,479.30,460.00,463.90,-0.02,"36,690.00","17,222,122.40"
84,2024-11-24,465.50,485.00,463.20,464.00,-2.32,"58,369.00","27,637,244.20"
85,2024-11-21,500.00,500.00,470.00,475.00,-4.04,"67,871.00","32,661,360.20"
86,2024-11-20,490.20,499.00,481.00,495.00,-1.00,"112,264.00","54,660,462.50"
87,2024-11-19,514.00,517.90,478.00,500.00,-1.57,"100,691.00","49,487,544.60"
88,2024-11-17,480.00,524.00,470.00,508.00,6.50,"92,358.00","46,169,867.50"
89,2024-11-14,452.00,478.00,452.00,477.00,3.72,"43,744.00","20,623,478.60"
90,2024-11-13,458.00,474.00,456.00,459.90,-1.31,"23,633.00","10,861,546.30"
91,2024-11-12,463.00,478.30,461.00,466.00,-0.64,"23,088.00","10,775,554.70"
92,2024-11-11,474.00,485.00,456.20,469.00,0.00,"42,981.00","20,427,811.80"
93,2024-11-10,441.10,472.00,441.10,469.00,4.92,"53,055.00","24,613,584.60"
94,2024-11-06,442.20,452.90,442.20,447.00,-0.45,"16,592.00","7,429,088.50"
95,2024-11-05,436.00,460.00,431.00,449.00,1.13,"15,216.00","6,849,394.30"
96,2024-10-30,460.50,460.50,440.00,444.00,-1.66,"22,103.00","9,858,650.20"
97,2024-10-29,428.30,460.00,428.30,451.50,3.32,"39,764.00","17,979,344.10"
98,2024-10-28,417.40,442.10,417.40,437.00,2.63,"22,375.00","9,665,359.40"
99,2024-10-27,428.00,430.00,420.20,425.80,-0.49,"16,442.00","7,000,469.40"
100,2024-10-24,421.10,430.00,421.10,427.90,0.21,"15,964.00","6,776,572.60"
101,2024-10-23,428.00,435.00,422.80,427.00,-0.93,"20,008.00","8,562,345.90"
102,2024-10-22,430.00,438.00,423.70,431.00,-0.16,"22,774.00","9,746,292.00"
103,2024-10-21,429.00,442.00,425.10,431.70,-1.26,"22,614.00","9,764,360.80"
104,2024-10-20,445.50,457.00,436.20,437.20,-3.49,"43,856.00","19,513,899.30"
105,2024-10-17,461.90,465.70,453.00,453.00,-1.93,"31,197.00","14,357,294.70"
106,2024-10-16,451.00,465.00,451.00,461.90,0.87,"31,787.00","14,607,736.50"
107,2024-10-15,442.00,457.90,442.00,457.90,2.90,"13,370.00","5,993,092.50"
108,2024-10-09,435.00,450.00,435.00,445.00,0.91,"7,866.00","3,473,795.00"
109,2024-10-08,456.90,456.90,439.00,441.00,-1.56,"9,215.00","4,088,210.00"
110,2024-10-07,446.00,466.00,446.00,448.00,-1.54,"26,703.00","12,140,922.70"
111,2024-10-06,432.00,455.00,432.00,455.00,3.43,"21,866.00","9,744,424.00"
112,2024-10-02,457.90,467.00,432.00,439.90,-2.03,"47,775.00","21,198,245.30"
113,2024-10-01,421.00,455.00,421.00,449.00,4.69,"38,238.00","17,031,219.80"
114,2024-09-30,410.00,431.00,410.00,428.90,3.10,"14,838.00","6,304,600.70"
115,2024-09-29,403.00,423.90,402.00,416.00,2.46,"22,628.00","9,325,906.60"
116,2024-09-26,424.00,437.80,406.00,406.00,-6.11,"25,776.00","10,821,492.20"
117,2024-09-25,404.00,432.40,404.00,432.40,4.98,"30,516.00","12,758,319.70"
118,2024-09-24,427.00,435.00,411.00,411.90,-4.65,"29,606.00","12,430,905.40"
119,2024-09-23,435.20,461.00,424.00,432.00,-2.70,"38,609.00","16,648,544.30"
120,2024-09-22,431.00,468.00,431.00,444.00,1.14,"22,684.00","10,020,363.10"
