S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-13,950.00,985.00,949.00,975.41,1.90,"4,822.00","4,624,498.70"
2,2025-04-10,960.00,968.00,954.00,957.21,-0.02,"7,214.00","6,914,507.00"
3,2025-04-09,971.70,"1,000.00",955.00,957.41,0.49,"3,547.00","3,408,556.00"
4,2025-04-08,968.00,968.00,935.00,952.72,0.35,"5,223.00","4,936,885.40"
5,2025-04-07,989.00,"1,000.00",948.00,949.40,-2.09,"4,914.00","4,693,333.00"
6,2025-04-03,980.50,"1,005.00",967.30,969.66,-1.11,"13,260.00","13,056,930.70"
7,2025-04-02,985.00,994.00,955.00,980.52,1.34,"5,832.00","5,730,195.00"
8,2025-04-01,990.00,990.00,945.00,967.53,-1.14,"4,913.00","4,704,745.50"
9,2025-03-30,966.00,997.00,958.00,978.65,1.3,"8,746.00","8,593,496.80"
10,2025-03-27,959.00,973.90,940.00,966.06,2.71,"4,596.00","4,406,382.80"
11,2025-03-26,931.00,947.90,921.00,940.54,1.61,"4,925.00","4,600,032.50"
12,2025-03-25,940.10,955.00,923.00,925.63,-3.07,"7,546.00","7,037,318.30"
13,2025-03-24,933.00,963.70,933.00,954.99,1.08,"4,589.00","4,371,126.20"
14,2025-03-23,987.30,987.30,935.00,944.81,-2.4,"6,855.00","6,520,149.80"
15,2025-03-20,973.00,990.00,964.00,968.03,-1.12,"4,793.00","4,655,371.80"
16,2025-03-19,976.50,"1,008.00",972.20,979.00,-0.1,"7,744.00","7,627,781.30"
17,2025-03-18,988.00,"1,000.00",975.10,980.00,0.2,"3,094.00","3,039,556.90"
18,2025-03-17,"1,000.00","1,000.00",977.20,978.00,-1.21,"3,090.00","3,046,763.50"
19,2025-03-16,"1,008.00","1,008.70",977.00,990.00,0.1,"8,009.00","7,894,152.00"
20,2025-03-12,"1,000.00","1,009.00",982.10,989.00,-0.1,"7,508.00","7,443,311.20"
21,2025-03-11,996.20,"1,035.00",985.20,990.00,-2.46,"8,293.00","8,319,151.60"
22,2025-03-10,"1,035.00","1,050.00","1,007.90","1,015.00",-0.98,"8,929.00","9,126,730.50"
23,2025-03-09,"1,063.00","1,064.00","1,016.30","1,025.00",-2.66,"12,668.00","13,075,118.90"
24,2025-03-06,"1,089.40","1,089.40","1,052.00","1,053.00",-1.41,"11,469.00","12,220,334.70"
25,2025-03-05,"1,100.00","1,100.00","1,068.10","1,068.10",-1.56,"11,119.00","12,001,897.30"
26,2025-03-04,"1,132.10","1,145.00","1,084.00","1,085.00",-3.98,"22,719.00","25,080,582.60"
27,2025-03-03,"1,101.20","1,147.00","1,086.00","1,130.00",4.66,"57,210.00","64,103,898.80"
28,2025-03-02,"1,075.00","1,090.00","1,060.00","1,079.70",0.54,"22,939.00","24,506,594.30"
29,2025-02-27,"1,093.00","1,110.00","1,057.00","1,073.90",0.21,"8,513.00","9,073,339.50"
30,2025-02-25,"1,089.00","1,089.00","1,054.00","1,071.70",0.35,"10,693.00","11,386,752.60"
31,2025-02-24,"1,100.00","1,110.00","1,055.00","1,068.00",-2.0,"18,976.00","20,672,782.80"
32,2025-02-23,"1,046.70","1,107.70","1,030.00","1,089.80",2.04,"21,179.00","22,768,630.40"
33,2025-02-20,"1,115.80","1,115.80","1,067.00","1,068.00",-2.38,"15,248.00","16,448,403.40"
34,2025-02-18,"1,058.00","1,109.80","1,047.00","1,094.00",3.32,"44,072.00","48,186,831.00"
35,2025-02-17,"1,013.00","1,059.80","1,013.00","1,058.80",3.8,"12,930.00","13,553,748.80"
36,2025-02-16,"1,010.00","1,026.90","1,010.00","1,020.00",-0.2,"6,378.00","6,502,081.30"
37,2025-02-13,"1,010.00","1,030.20","1,010.00","1,022.00",-0.39,"5,301.00","5,398,661.80"
38,2025-02-12,"1,045.00","1,045.00","1,020.20","1,026.00",-0.66,"6,031.00","6,190,132.30"
39,2025-02-11,"1,044.40","1,044.40","1,024.00","1,032.80",0.86,"8,088.00","8,324,333.10"
40,2025-02-10,"1,050.00","1,063.00","1,011.20","1,024.00",-0.58,"11,043.00","11,411,200.10"
41,2025-02-09,"1,040.20","1,050.00","1,020.10","1,030.00",-1.9,"7,220.00","7,445,664.00"
42,2025-02-06,"1,070.00","1,070.00","1,037.20","1,050.00",-2.43,"9,543.00","10,034,067.90"
43,2025-02-05,"1,061.00","1,081.00","1,040.00","1,076.10",-0.36,"7,300.00","7,745,893.10"
44,2025-02-04,"1,026.00","1,091.00","1,026.00","1,080.00",3.3,"22,429.00","23,921,798.40"
45,2025-02-03,"1,063.90","1,100.00",970.00,"1,045.50",0.19,"32,975.00","34,209,406.20"
46,2025-02-02,"1,007.00","1,045.00","1,006.00","1,043.50",4.46,"13,726.00","14,059,685.40"
47,2025-01-28,990.00,998.90,980.50,998.90,0.9,"4,424.00","4,373,924.30"
48,2025-01-27,996.00,"1,013.00",981.20,990.00,-2.45,"5,576.00","5,548,669.90"
49,2025-01-26,998.00,"1,032.20",995.70,"1,014.90",-0.11,"8,289.00","8,364,876.00"
50,2025-01-23,"1,049.00","1,049.00",990.00,"1,016.00",-1.38,"9,766.00","9,824,247.40"
51,2025-01-22,"1,019.80","1,040.00","1,000.00","1,030.20",3.02,"10,548.00","10,707,507.10"
52,2025-01-21,941.00,"1,034.00",941.00,"1,000.00",4.29,"16,835.00","16,717,392.80"
53,2025-01-20,931.00,964.30,931.00,958.90,1.04,"5,196.00","4,945,858.60"
54,2025-01-19,921.00,960.00,921.00,949.00,1.5,"3,720.00","3,519,728.10"
55,2025-01-16,963.00,963.00,925.00,935.00,-1.01,"5,669.00","5,294,547.90"
56,2025-01-15,937.00,960.00,930.00,944.50,0.32,"5,336.00","5,028,857.10"
57,2025-01-13,946.00,969.00,930.00,941.50,-1.52,"8,096.00","7,688,810.30"
58,2025-01-12,989.00,989.00,951.00,956.00,-1.95,"1,514.00","1,449,392.60"
59,2025-01-09,960.10,979.40,960.00,975.00,-0.31,"3,373.00","3,265,139.20"
60,2025-01-08,990.00,993.90,966.10,978.00,0.35,"5,018.00","4,887,579.40"
61,2025-01-07,957.60,985.00,957.60,974.60,-0.25,"2,865.00","2,794,076.50"
62,2025-01-06,967.00,978.00,947.70,977.00,2.84,"4,486.00","4,327,105.00"
63,2025-01-05,920.20,955.00,920.00,950.00,1.6,"5,268.00","4,949,089.80"
64,2025-01-02,927.00,938.00,913.00,935.00,0.96,"2,995.00","2,780,805.90"
65,2025-01-01,931.00,948.00,923.70,926.10,-0.42,"3,047.00","2,837,122.00"
66,2024-12-31,960.00,962.80,910.00,930.00,-2.82,"4,562.00","4,263,553.00"
67,2024-12-29,957.00,980.00,955.00,957.00,-1.85,"5,650.00","5,475,866.70"
68,2024-12-26,995.00,995.00,965.00,975.00,-1.61,"2,335.00","2,277,885.50"
69,2024-12-24,999.00,"1,008.00",985.00,991.00,0.25,"4,024.00","4,009,154.50"
70,2024-12-23,954.00,991.30,952.50,988.50,3.62,"3,882.00","3,793,940.50"
71,2024-12-22,951.00,983.00,951.00,954.00,-1.14,"3,377.00","3,246,693.00"
72,2024-12-19,995.00,995.00,963.50,965.00,-1.13,"1,549.00","1,497,420.50"
73,2024-12-18,973.10,990.00,962.00,976.00,0.41,"4,360.00","4,252,051.80"
74,2024-12-17,965.20,989.00,965.20,972.00,-0.82,"4,566.00","4,455,725.90"
75,2024-12-16,"1,030.00","1,030.00",970.00,980.00,-3.45,"5,761.00","5,671,112.70"
76,2024-12-12,"1,005.00","1,029.90",995.00,"1,015.00",-0.1,"7,427.00","7,524,853.80"
77,2024-12-11,"1,003.60","1,029.50","1,003.00","1,016.00",-0.29,"2,738.00","2,783,809.00"
