S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-06-12,739.70,824.70,739.70,824.70,9.99,"1,940.00","1,597,084.00"
2,2025-06-11,695.3,749.8,695.3,749.8,9.99,640.0,"477,990.00"
3,2025-06-10,632.1,681.7,632.1,681.7,9.99,570.0,"387,350.00"
4,2025-06-09,574.7,619.8,574.7,619.8,9.99,610.0,"376,969.00"
5,2025-06-08,522.1,563.5,522.1,563.5,9.99,580.0,"324,978.00"
6,2025-06-05,475.1,512.3,475.1,512.3,9.98,400.0,"204,007.00"
7,2025-06-04,431.9,465.8,431.9,465.8,9.99,260.0,"120,275.00"
8,2025-06-03,381.7,423.5,381.7,423.5,10.0,270.0,"113,004.00"
9,2025-06-02,357.0,385.0,357.0,385.0,10.0,270.0,"103,261.00"
10,2025-05-28,321.3,350.0,321.3,350.0,9.99,140.0,"47,929.00"
11,2025-05-27,289.3,318.2,289.3,318.2,9.99,120.0,"36,747.00"
