S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-11-23,763.00,785.00,755.00,769.90,0.90,"46,384.00","35,646,035.50"
2,2025-11-20,754.00,795.60,743.00,763.00,1.19,"57,996.00","44,794,403.20"
3,2025-11-19,712.00,756.20,712.00,754.00,6.05,"62,943.00","46,516,096.30"
4,2025-11-18,709.10,720.00,709.10,711.00,0.42,"21,163.00","15,153,031.40"
5,2025-11-17,707.00,714.90,701.00,708.00,0.14,"11,386.00","8,059,594.20"
6,2025-11-16,706.00,708.00,701.70,707.00,0.0,"11,627.00","8,193,395.70"
7,2025-11-13,706.00,716.00,705.00,707.00,-0.01,"9,737.00","6,882,508.30"
8,2025-11-12,707.10,719.90,707.00,707.10,-1.66,"13,812.00","9,811,795.20"
9,2025-11-11,706.00,719.40,706.00,719.00,0.7,"11,273.00","8,023,487.80"
10,2025-11-10,714.00,727.90,705.00,714.00,0.0,"12,486.00","8,867,864.00"
11,2025-11-09,737.00,738.00,709.70,714.00,-2.86,"19,087.00","13,710,099.50"
12,2025-11-06,724.10,740.00,724.10,735.00,0.29,"9,791.00","7,145,593.90"
13,2025-11-05,728.00,734.00,718.00,732.90,0.67,"9,539.00","6,921,505.00"
14,2025-11-04,743.00,750.00,723.00,728.00,-2.02,"14,038.00","10,298,974.30"
15,2025-11-03,754.00,765.00,736.30,743.00,-1.46,"19,959.00","14,930,132.00"
16,2025-11-02,729.00,754.00,725.00,754.00,3.59,"33,363.00","24,876,059.90"
17,2025-10-30,720.00,731.00,703.30,727.90,2.52,"19,207.00","13,855,850.50"
18,2025-10-29,733.20,735.00,710.00,710.00,-1.24,"15,907.00","11,453,456.60"
19,2025-10-28,712.90,724.30,692.00,718.90,2.7,"15,316.00","10,929,420.80"
20,2025-10-26,692.10,700.00,685.00,700.00,-0.55,"12,407.00","8,565,613.10"
21,2025-10-19,700.00,705.00,692.00,703.90,1.28,"9,001.00","6,310,290.90"
22,2025-10-16,700.00,714.00,690.00,695.00,-0.86,"15,523.00","10,866,193.60"
