S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2024-10-20,531.20,531.20,531.20,531.20,0.00,"75,585.00","24,470,643.75"
2,2024-09-29,542.00,542.00,531.20,531.20,-1.99,"13,269.00","7,068,364.80"
3,2024-08-15,542.00,542.00,542.00,542.00,0.00,"106,573.00","57,762,566.00"
4,2024-06-27,542.00,542.00,542.00,542.00,0.00,"64,414.00","34,912,388.00"
5,2023-11-02,323.75,323.75,323.75,323.75,0.00,"312,000.00","101,010,000.00"
6,2023-11-01,0.00,0.00,0.00,0.00,0.00,"217,100.00","70,286,125.00"
7,2023-02-22,685.00,685.00,685.00,685.00,0.00,"8,050.00","5,514,250.00"
8,2023-02-20,685.00,685.00,685.00,685.00,0.00,"5,525.00","2,185,000.00"
9,2023-02-06,685.00,685.00,685.00,685.00,0.00,"58,940.00","40,373,900.00"
10,2022-12-12,685.00,685.00,685.00,685.00,0.00,"150,000.00","59,350,000.00"
11,2022-07-05,685.00,685.00,685.00,685.00,-1.86,"100,000.00","68,500,000.00"
12,2022-05-04,769.00,769.00,769.00,769.00,0.00,100.00,"76,900.00"
