S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-16,218.00,218.00,218.00,218.00,0.00,"40,000.00","8,720,000.00"
2,2025-04-01,205.0,205.0,205.0,205.0,0.0,"10,000.00","2,050,000.00"
3,2025-02-16,205.0,205.0,205.0,205.0,0.0,"10,950.00","2,244,750.00"
4,2025-01-26,205.0,205.0,205.0,205.0,0.0,"54,750.00","11,223,750.00"
5,2025-01-22,205.0,205.0,205.0,205.0,0.0,"34,251.00","7,021,455.00"
6,2025-01-05,205.0,205.0,205.0,205.0,0.0,"43,000.00","8,815,000.00"
7,2024-11-26,205.0,205.0,205.0,205.0,0.0,"16,425.00","3,367,125.00"
8,2024-11-17,205.0,205.0,205.0,205.0,0.0,"16,510.00","3,384,550.00"
9,2024-11-14,205.0,205.0,205.0,205.0,0.0,"14,353.00","2,942,365.00"
10,2024-11-13,205.0,205.0,205.0,205.0,0.0,"12,917.00","2,647,985.00"
11,2024-11-12,205.0,205.0,205.0,205.0,0.0,"87,067.00","17,848,735.00"
12,2024-11-11,205.0,205.0,205.0,205.0,0.0,"200,000.00","41,000,000.00"
13,2024-10-24,205.0,205.0,205.0,205.0,0.0,"54,750.00","11,223,750.00"
14,2024-10-23,205.0,205.0,205.0,205.0,0.0,"3,588.00","735,540.00"
15,2024-10-17,205.0,205.0,205.0,205.0,0.0,"6,128.00","1,256,240.00"
16,2024-08-14,205.0,205.0,205.0,205.0,0.0,"43,060.00","8,827,300.00"
17,2024-08-11,205.0,205.0,205.0,205.0,0.0,"52,679.00","10,799,195.00"
18,2024-08-01,205.0,205.0,205.0,205.0,0.0,"61,867.00","12,682,735.00"
19,2024-07-11,205.0,205.0,205.0,205.0,0.0,"119,275.00","24,451,375.00"
20,2024-04-03,205.0,205.0,205.0,205.0,-0.49,"53,501.00","10,967,705.00"
21,2024-01-01,206.0,206.0,206.0,206.0,0.0,"55,000.00","11,330,000.00"
22,2023-11-28,206.0,206.0,206.0,206.0,0.0,"1,000.00","206,000.00"
23,2023-11-08,206.0,206.0,206.0,206.0,0.0,"19,160.00","3,946,960.00"
24,2023-11-06,206.0,206.0,206.0,206.0,0.0,"24,030.00","4,950,180.00"
25,2023-10-18,206.0,206.0,206.0,206.0,0.0,"2,260.00","465,560.00"
26,2023-10-01,206.0,206.0,206.0,206.0,0.0,246.00,"50,676.00"
27,2023-09-25,206.0,206.0,206.0,206.0,4.04,"44,504.00","9,167,824.00"
28,2023-02-15,198.0,198.0,198.0,198.0,0.0,"96,500.00","19,107,000.00"
29,2023-02-14,198.0,198.0,198.0,198.0,0.0,"82,038.00","16,243,524.00"
30,2023-02-09,198.0,198.0,198.0,198.0,0.0,"64,662.00","12,803,076.00"
31,2022-12-01,207.0,207.0,207.0,207.0,0.0,"43,400.00","8,983,800.00"
32,2022-11-30,207.0,207.0,207.0,207.0,0.0,"89,400.00","18,505,800.00"
33,2022-11-29,207.0,207.0,207.0,207.0,0.0,"72,219.00","14,949,333.00"
34,2022-11-28,207.0,207.0,207.0,207.0,0.0,"62,682.00","12,975,174.00"
35,2022-11-15,207.0,207.0,207.0,207.0,0.0,"105,582.00","21,855,474.00"
36,2022-11-03,207.0,207.0,207.0,207.0,0.0,"174,000.00","36,018,000.00"
37,2022-03-10,277.0,277.0,277.0,277.0,0.0,"6,500.00","1,800,500.00"
38,2022-01-20,277.0,277.0,277.0,277.0,0.0,"4,000.00","1,108,000.00"
39,2022-01-18,277.0,277.0,277.0,277.0,0.0,"137,607.00","38,117,139.00"
40,2022-01-17,277.0,277.0,277.0,277.0,0.0,"16,676.00","4,619,252.00"
41,2022-01-09,277.0,277.0,277.0,277.0,0.0,"75,000.00","20,775,000.00"
42,2022-01-04,277.0,277.0,277.0,277.0,0.0,"35,000.00","9,695,000.00"
43,2021-03-21,173.0,173.0,173.0,173.0,-0.33,"14,785.00","2,557,805.00"
44,2021-01-19,197.0,197.0,197.0,197.0,0.0,"114,095.00","22,476,715.00"
45,2020-07-20,115.0,115.0,115.0,115.0,0.0,"4,000.00","460,000.00"
46,2020-07-19,115.0,115.0,115.0,115.0,0.0,"27,917.00","3,210,455.00"
47,2020-07-15,115.0,115.0,115.0,115.0,0.0,"50,000.00","5,750,000.00"
48,2020-07-14,115.0,115.0,115.0,115.0,0.0,"122,509.00","14,088,535.00"
49,2020-07-08,115.0,115.0,115.0,115.0,0.0,"79,000.00","9,085,000.00"
50,2019-08-19,115.0,115.0,115.0,115.0,0.0,"50,000.00","5,750,000.00"
51,2019-07-15,115.0,115.0,115.0,115.0,0.0,"27,530.00","3,165,950.00"
52,2019-07-09,115.0,115.0,115.0,115.0,0.0,"21,613.00","2,485,495.00"
53,2019-07-08,115.0,115.0,115.0,115.0,0.0,"136,293.00","15,673,695.00"
54,2019-05-09,115.0,115.0,115.0,115.0,0.0,"5,000.00","575,000.00"
55,2019-04-29,115.0,115.0,115.0,115.0,0.0,"2,530.00","290,950.00"
56,2019-04-11,115.0,115.0,115.0,115.0,0.0,"2,145.00","246,675.00"
57,2019-04-09,115.0,115.0,115.0,115.0,0.0,"334,497.00","38,467,156.00"
58,2018-07-15,115.0,115.0,115.0,115.0,0.0,"24,891.00","2,862,465.00"
59,2018-07-10,115.0,115.0,115.0,115.0,0.0,"65,150.00","7,492,250.00"
60,2018-07-09,115.0,115.0,115.0,115.0,0.0,"75,044.00","8,630,060.00"
61,2018-07-08,115.0,115.0,115.0,115.0,0.0,"37,440.00","4,305,600.00"
62,2017-12-20,156.0,156.0,156.0,156.0,0.0,"89,195.00","13,914,420.00"
63,2017-12-19,159.0,156.0,156.0,156.0,0.0,"66,904.00","10,437,024.00"
64,2017-12-18,162.0,159.0,159.0,159.0,0.0,"73,000.00","11,607,000.00"
65,2017-12-17,165.0,162.0,162.0,162.0,0.0,"129,894.00","21,042,828.00"
66,2017-07-25,168.0,165.0,165.0,165.0,0.0,"51,776.00","8,543,040.00"
67,2017-01-31,200.0,200.0,200.0,200.0,0.0,"184,163.00","36,832,600.00"
68,2016-04-12,175.0,175.0,175.0,175.0,0.0,"34,215.00","5,987,625.00"
69,2014-11-02,0.0,200.0,200.0,200.0,0.0,"138,548.00","27,709,600.00"
