S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-02,366.20,373.00,361.30,371.00,2.76,"6,542.00","2,400,849.70"
2,2025-04-01,365.00,374.00,359.00,361.04,0.21,"16,241.00","5,899,189.40"
3,2025-03-30,359.70,403.50,354.00,360.27,-1.79,"76,123.00","27,593,522.60"
4,2025-03-27,366.20,379.00,359.00,366.85,-1.82,"99,105.00","36,737,585.50"
5,2025-03-26,398.50,398.50,365.90,373.65,-8.09,"50,859.00","18,764,029.50"
6,2025-03-25,370.00,414.70,365.00,406.55,7.84,"20,125.00","7,699,796.00"
7,2025-03-24,365.10,377.50,361.00,377.00,1.84,"4,550.00","1,689,159.00"
8,2025-03-23,372.00,377.60,370.10,370.19,-2.40,"4,540.00","1,684,624.00"
9,2025-03-20,370.60,382.00,370.60,379.28,0.34,"9,331.00","3,543,967.60"
10,2025-03-19,383.00,384.00,375.40,378.00,-0.79,"1,770.00","672,897.00"
11,2025-03-18,375.70,381.00,374.90,381.00,1.20,"2,460.00","931,694.00"
12,2025-03-17,379.50,379.50,373.30,376.50,-0.92,810.00,"303,425.00"
13,2025-03-16,380.40,386.00,380.00,380.00,-1.55,"1,659.00","630,708.70"
14,2025-03-12,388.60,388.60,381.10,386.00,1.31,"12,920.00","4,977,396.00"
15,2025-03-11,388.00,395.00,379.50,381.00,-1.80,"14,623.00","5,579,758.20"
16,2025-03-10,378.00,388.60,378.00,388.00,1.84,"22,610.00","8,755,789.90"
17,2025-03-09,377.80,389.00,377.80,381.00,-1.17,"11,889.00","4,580,540.10"
18,2025-03-06,384.00,385.50,370.10,385.50,2.20,"7,452.00","2,819,097.50"
19,2025-03-05,396.70,396.70,377.20,377.20,-3.03,"7,671.00","2,941,659.00"
20,2025-03-04,387.20,395.00,380.00,389.00,-1.52,"6,652.00","2,561,167.40"
21,2025-03-03,393.80,397.00,378.50,395.00,2.31,"21,727.00","8,376,084.40"
22,2025-03-02,389.00,404.50,374.10,386.10,-2.72,"12,456.00","4,843,631.20"
23,2025-02-27,391.60,407.00,371.00,396.90,3.36,"1,760.00","692,342.00"
24,2025-02-25,409.00,409.00,379.30,384.00,-4.24,"241,703.00","92,189,084.80"
25,2025-02-24,394.10,402.00,387.10,401.00,-0.25,"5,082.00","1,999,351.00"
26,2025-02-23,388.00,402.00,387.00,402.00,1.95,"5,510.00","2,137,718.00"
27,2025-02-20,400.00,407.90,390.10,394.30,0.33,"16,100.00","6,335,095.20"
28,2025-02-18,404.00,407.00,392.00,393.00,-0.78,"5,540.00","2,209,145.00"
29,2025-02-17,393.10,403.00,393.10,396.10,-0.48,"16,340.00","6,526,611.30"
30,2025-02-16,396.90,411.00,396.90,398.00,-1.73,"8,815.00","3,575,762.93"
31,2025-02-13,405.80,447.00,387.20,405.00,-2.17,"136,551.00","53,632,586.80"
32,2025-02-12,414.00,421.60,390.10,414.00,-1.80,"92,620.00","36,926,890.48"
33,2025-02-11,416.50,440.60,394.00,421.60,-0.80,"79,179.00","31,864,641.60"
34,2025-02-10,435.00,435.00,409.50,425.00,-3.41,"17,934.00","7,430,841.90"
35,2025-02-09,434.20,440.00,418.10,440.00,-0.68,"2,720.00","1,157,589.00"
36,2025-02-06,438.00,444.00,416.10,443.00,-0.85,"16,555.00","7,047,407.90"
37,2025-02-05,471.00,471.00,428.30,446.80,-4.92,"21,258.00","9,396,609.50"
38,2025-02-04,465.00,470.00,430.20,469.90,2.85,"23,808.00","10,595,475.90"
39,2025-02-03,449.80,485.00,432.20,456.90,3.61,"18,766.00","8,473,273.90"
40,2025-02-02,449.00,459.00,441.00,441.00,-0.65,630.00,"279,307.00"
41,2025-01-28,450.00,450.00,436.10,443.90,-2.20,"1,085.00","485,362.00"
42,2025-01-27,441.00,458.90,415.60,453.90,0.87,"7,780.00","3,403,194.50"
43,2025-01-26,440.20,450.00,431.50,450.00,0.27,"1,414.00","630,882.00"
44,2025-01-23,451.00,451.00,440.00,448.80,-2.43,"6,160.00","2,713,158.00"
45,2025-01-22,459.00,461.00,458.00,460.00,0.70,"1,180.00","542,516.00"
46,2025-01-21,467.70,480.00,435.10,456.80,-0.83,"23,242.00","10,495,229.80"
47,2025-01-20,453.80,461.00,443.00,460.60,-0.52,"1,114.00","498,488.00"
48,2025-01-19,457.10,465.00,437.70,463.00,-0.73,"3,570.00","1,576,264.00"
49,2025-01-16,477.30,485.80,457.30,466.40,-0.34,70.00,"32,942.40"
50,2025-01-15,459.70,468.00,459.70,468.00,-0.21,210.00,"96,620.00"
51,2025-01-13,473.30,473.30,464.00,469.00,-2.88,60.00,"28,073.00"
52,2025-01-09,484.00,484.00,465.00,482.90,1.45,40.00,"19,063.00"
53,2025-01-08,469.20,477.80,447.60,476.00,3.48,75.00,"34,848.60"
54,2025-01-07,465.80,465.80,451.80,460.00,-1.25,"3,270.00","1,507,860.00"
55,2025-01-06,485.00,485.00,465.80,465.80,-2.35,"2,550.00","1,188,172.00"
56,2025-01-05,479.00,479.00,440.10,477.00,1.51,"1,307.00","605,373.70"
57,2025-01-02,436.00,469.90,430.00,469.90,5.64,"7,960.00","3,560,900.00"
58,2025-01-01,436.10,444.80,416.00,444.80,-0.04,"2,380.00","1,012,156.00"
59,2024-12-31,448.00,448.00,414.50,445.00,-2.63,"4,370.00","1,867,165.00"
60,2024-12-29,466.50,466.50,440.00,457.00,-3.99,"6,292.00","2,832,116.00"
61,2024-12-26,469.00,476.00,443.00,476.00,3.48,"7,703.00","3,470,476.50"
62,2024-12-24,459.50,468.60,459.30,460.00,-1.88,"5,613.00","2,588,613.50"
63,2024-12-23,488.00,488.00,468.80,468.80,-3.24,30.00,"14,351.00"
64,2024-12-22,478.30,484.50,451.50,484.50,-0.72,"5,790.00","2,763,763.00"
65,2024-12-19,479.30,488.00,469.90,488.00,-0.20,720.00,"340,439.00"
66,2024-12-18,480.00,489.00,461.30,489.00,3.91,915.00,"432,527.00"
67,2024-12-17,472.00,490.00,445.00,470.60,-2.20,"1,650.00","774,523.00"
68,2024-12-16,510.00,510.00,480.30,481.20,-3.76,"5,020.00","2,529,722.00"
69,2024-12-12,479.00,500.00,479.00,500.00,2.67,"1,577.00","770,393.30"
70,2024-12-11,510.00,520.00,487.00,487.00,-2.60,"21,863.00","11,292,523.00"
71,2024-12-10,505.00,508.00,489.00,500.00,-1.77,"6,050.00","3,045,561.50"
72,2024-12-09,499.90,509.00,485.00,509.00,-0.20,"1,754.00","865,209.20"
73,2024-12-08,503.00,543.60,493.60,510.00,-0.58,"32,090.00","16,584,310.20"
74,2024-12-05,528.30,538.80,512.00,513.00,-4.82,"8,746.00","4,527,375.00"
75,2024-12-04,531.10,540.00,510.70,539.00,-0.41,"20,197.00","10,620,645.60"
76,2024-12-03,537.90,550.00,527.20,541.20,-1.38,"15,490.00","8,432,161.10"
77,2024-12-02,563.00,563.00,520.40,548.80,-0.58,"61,176.00","33,607,494.40"
78,2024-12-01,492.30,552.00,492.30,552.00,9.89,"13,946.00","7,081,725.40"
79,2024-11-28,504.00,520.00,494.00,502.30,0.66,"35,115.00","17,868,877.30"
80,2024-11-27,490.90,505.00,481.10,499.00,-0.38,"5,370.00","2,633,101.50"
81,2024-11-26,493.10,501.00,493.10,500.90,-0.20,"3,265.00","1,628,994.60"
82,2024-11-25,494.90,501.90,486.30,501.90,-0.59,"2,995.00","1,483,633.50"
83,2024-11-24,498.90,559.90,460.50,504.90,-0.81,"20,600.00","10,449,958.10"
84,2024-11-21,508.80,525.00,491.00,509.00,-1.95,"25,923.00","13,294,608.30"
85,2024-11-20,464.00,519.10,455.10,519.10,9.98,"21,535.00","10,415,025.00"
86,2024-11-19,471.70,480.50,444.80,472.00,0.06,"36,615.00","17,173,650.00"
87,2024-11-17,465.90,474.00,462.60,471.70,1.24,"32,913.00","15,359,517.90"
88,2024-11-14,456.00,478.00,429.30,465.90,2.17,"23,428.00","10,744,363.60"
89,2024-11-13,453.90,478.00,430.10,456.00,2.47,"18,201.00","8,264,731.20"
90,2024-11-12,441.10,445.00,438.20,445.00,-0.45,"1,350.00","595,017.20"
91,2024-11-11,472.50,490.90,445.90,447.00,-7.26,"19,602.00","8,848,688.00"
92,2024-11-10,474.40,513.00,438.00,482.00,-0.41,"24,449.00","11,709,679.40"
93,2024-11-06,448.60,484.00,416.00,484.00,10.00,"25,815.00","11,795,850.20"
94,2024-11-05,421.00,461.50,417.80,440.00,4.51,"57,756.00","25,187,868.50"
95,2024-10-30,396.30,428.90,376.10,421.00,4.13,"11,825.00","4,754,841.10"
96,2024-10-29,374.90,404.30,374.70,404.30,9.98,"8,482.00","3,300,677.60"
97,2024-10-28,368.00,382.80,367.60,367.60,1.63,776.00,"287,076.80"
98,2024-10-27,369.00,369.00,361.70,361.70,-3.29,358.00,"130,544.00"
99,2024-10-24,374.20,374.20,366.80,374.00,-2.04,190.00,"70,504.00"
