S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-22,100.00,100.00,100.00,100.00,0.00,750.00,"397,500.00"
2,2025-04-21,100.0,100.0,100.0,100.0,0.0,"6,950.00","3,778,300.00"
3,2025-04-20,100.0,100.0,100.0,530.0,0.0,"20,450.00","10,863,250.00"
4,2025-02-20,100.0,100.0,100.0,100.0,0.0,"176,140.00","93,576,200.00"
5,2025-02-09,100.0,100.0,100.0,100.0,0.0,"26,000.00","15,908,000.00"
6,2024-12-26,100.0,100.0,100.0,100.0,0.0,"25,000.00","15,275,000.00"
7,2024-12-17,100.0,100.0,100.0,100.0,0.0,500.00,"320,500.00"
8,2024-12-11,100.0,100.0,100.0,100.0,0.0,500.00,"303,000.00"
9,2024-12-09,100.0,100.0,100.0,100.0,0.0,"19,500.00","12,623,750.00"
10,2024-12-08,100.0,100.0,100.0,100.0,0.0,750.00,"486,000.00"
11,2022-02-15,100.0,100.0,100.0,100.0,0.0,"478,338.00","47,833,800.00"
