S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-13,100.00,100.00,100.00,100.00,0.00,"55,000.00","5,775,000.00"
2,2025-03-12,100.0,100.0,100.0,100.0,0.0,"8,136,521.00","813,652,100.00"
3,2025-01-28,100.0,100.0,100.0,100.0,0.0,"300,258.00","30,025,800.00"
4,2025-01-13,102.0,102.0,100.0,100.0,-1.96,"849,833.00","86,569,132.00"
5,2025-01-12,102.0,102.0,102.0,102.0,-9.73,"207,084.00","21,122,568.00"
6,2024-05-21,113.0,113.0,113.0,113.0,0.0,"59,656.00","6,741,128.00"
7,2024-03-21,113.0,113.0,113.0,113.0,0.0,"10,737,000.00","1,213,281,000.00"
8,2024-02-15,131.0,131.0,131.0,131.0,-1.87,"61,665.00","8,078,115.00"
9,2024-02-08,133.5,133.5,133.5,133.5,-1.84,500.00,"66,750.00"
10,2023-05-10,136.0,136.0,136.0,136.0,0.0,"83,532.00","9,188,520.00"
11,2022-07-26,136.0,136.0,136.0,136.0,0.0,"164,131.00","22,321,816.00"
12,2022-04-24,151.0,151.0,151.0,151.0,0.0,"5,451.00","823,101.00"
13,2021-08-01,250.0,250.0,250.0,250.0,0.0,"288,726.00","72,181,500.00"
14,2021-04-21,250.0,250.0,250.0,250.0,0.0,"2,561.00","640,250.00"
15,2021-02-18,120.0,120.0,120.0,120.0,0.0,"20,000.00","2,400,000.00"
16,2020-09-09,120.0,120.0,120.0,120.0,-18.92,"32,578.00","3,909,360.00"
17,2019-06-25,148.0,148.0,148.0,148.0,0.0,"10,077.00","1,491,396.00"
18,2019-06-12,148.0,148.0,148.0,148.0,13.85,"5,211.00","771,228.00"
19,2019-03-14,130.0,130.0,130.0,130.0,14.44,"6,505.00","845,650.00"
20,2019-02-03,113.6,113.6,113.6,113.6,0.0,"522,055.00","59,305,448.00"
21,2019-01-16,113.6,113.6,113.6,113.6,53.51,"299,966.00","34,076,136.00"
22,2018-12-17,74.0,74.0,74.0,74.0,-43.08,"21,373.00","1,581,602.00"
23,2018-12-16,130.0,130.0,130.0,130.0,0.0,"6,085.00","791,050.00"
24,2018-12-13,130.0,130.0,130.0,130.0,0.0,"156,701.00","20,371,130.00"
25,2018-12-06,130.0,130.0,130.0,130.0,0.0,"128,881.00","16,754,530.00"
26,2018-11-04,130.0,130.0,130.0,130.0,0.0,"1,274,186.00","165,644,176.00"
27,2018-10-24,130.0,130.0,130.0,130.0,0.0,"10,246.00","1,331,980.00"
28,2018-10-03,251.0,251.0,251.0,251.0,-11.92,"5,051.00","1,267,801.00"
29,2017-10-11,285.0,285.0,285.0,285.0,0.0,"49,729.00","14,172,765.00"
30,2017-03-19,285.0,285.0,285.0,285.0,0.0,"13,151.00","3,748,035.00"
31,2016-12-12,287.0,285.0,285.0,285.0,0.0,260.00,"74,100.00"
32,2016-10-03,287.0,280.0,280.0,280.0,0.0,"29,124.00","8,154,720.00"
33,2016-07-27,287.0,106.0,106.0,106.0,0.0,"46,090.00","4,885,540.00"
34,2015-09-15,282.0,287.0,287.0,287.0,0.0,"38,106.00","10,936,422.00"
35,2015-09-10,282.0,0.0,0.0,282.0,0.0,"191,828.00","19,682,004.00"
36,2015-08-16,282.0,0.0,0.0,282.0,0.0,700.00,"74,500.00"
37,2015-07-13,282.0,282.0,282.0,282.0,0.0,"2,223.00","626,886.00"
38,2014-11-03,102.0,104.0,104.0,104.0,0.0,"8,615.00","895,960.00"
39,2014-11-02,100.0,102.0,102.0,102.0,0.0,"25,341.00","2,584,782.00"
40,2014-10-28,99.0,100.0,100.0,100.0,0.0,"3,061.00","306,100.00"
41,2014-10-14,99.0,99.0,99.0,99.0,0.0,"25,341.00","2,508,759.00"
42,2014-10-13,98.0,99.0,99.0,99.0,0.0,"3,061.00","303,039.00"
43,2014-09-28,92.0,98.0,96.0,98.0,0.0,"37,040.00","3,615,160.00"
44,2014-08-31,92.0,92.0,92.0,92.0,0.0,"65,809.00","6,054,428.00"
45,2013-12-09,100.0,92.0,92.0,92.0,0.0,"32,778.00","3,015,576.00"
46,2013-12-04,100.0,0.0,0.0,92.0,0.0,"450,932.00","38,329,220.00"
47,2013-09-15,95.0,94.0,94.0,94.0,0.0,"10,028.00","942,632.00"
48,2013-08-15,95.0,95.0,95.0,95.0,0.0,"38,333.00","3,641,635.00"
49,2013-07-07,96.0,95.0,95.0,95.0,0.0,"236,717.00","22,488,116.00"
50,2013-06-18,97.0,96.0,96.0,96.0,0.0,"97,729.00","9,381,984.00"
51,2013-03-05,90.0,97.0,97.0,97.0,0.0,"10,066.00","976,402.00"
52,2013-02-20,98.0,97.0,90.0,90.0,0.0,"221,384.00","21,353,336.00"
53,2013-01-17,70.0,98.0,98.0,98.0,0.0,"133,812.00","13,113,576.00"
54,2012-11-11,100.0,90.0,70.0,70.0,0.0,"261,142.00","19,420,560.00"
55,2012-10-11,100.0,100.0,100.0,100.0,0.0,"1,093,616.00","109,361,600.00"
56,2012-05-21,100.0,100.0,100.0,100.0,0.0,"99,000.00","9,900,000.00"
57,2012-03-27,205.0,100.0,100.0,100.0,0.0,"170,493.00","17,049,300.00"
