S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-02,154.00,159.00,154.00,156.00,1.21,"3,020.00","467,162.00"
2,2025-04-01,152.90,157.40,152.90,154.14,-1.19,"4,118.00","635,731.40"
3,2025-03-30,159.00,159.00,156.00,156.00,-1.20,"850,809.00","94,910,244.00"
4,2025-03-27,155.00,158.00,152.20,157.90,1.87,"2,400.00","372,000.70"
5,2025-03-26,155.00,155.00,155.00,155.00,1.39,11.00,"1,705.00"
6,2025-03-25,152.89,153.30,151.00,152.88,-0.47,"3,224.00","492,963.00"
7,2025-03-24,153.20,153.80,153.20,153.60,-1.54,"1,600.00","245,828.40"
8,2025-03-23,155.50,156.00,153.00,156.00,-1.14,"3,880.00","600,789.00"
9,2025-03-20,157.10,157.80,155.00,157.80,2.40,"4,696.00","729,382.30"
10,2025-03-19,154.20,154.50,154.00,154.10,-0.58,"2,099.00","323,520.90"
11,2025-03-18,153.00,155.00,152.00,155.00,0.00,"2,510.00","381,705.00"
12,2025-03-17,156.00,156.00,155.00,155.00,-0.64,"13,884.00","2,152,595.00"
13,2025-03-16,160.80,160.80,156.00,156.00,-4.88,"39,311.00","6,263,469.70"
14,2025-03-12,156.40,164.00,156.10,164.00,4.79,"2,114.00","344,468.80"
15,2025-03-11,157.00,159.80,156.50,156.50,-0.32,"5,890.00","925,180.00"
16,2025-03-10,158.20,158.20,157.00,157.00,-0.38,"23,402.00","3,683,528.00"
17,2025-03-09,157.60,157.60,157.60,157.60,-1.38,"30,526.00","4,810,897.60"
18,2025-03-06,163.00,163.00,159.80,159.80,-1.30,"61,332.00","9,840,508.80"
19,2025-03-05,162.70,162.70,160.50,161.90,-2.47,"58,713.00","9,470,045.50"
20,2025-03-04,160.10,166.00,160.10,166.00,1.84,"14,276.00","2,335,032.80"
21,2025-03-03,162.50,163.00,159.30,163.00,-1.15,"26,484.00","4,274,925.80"
22,2025-03-02,162.00,165.00,162.00,164.90,1.48,"19,261.00","3,144,404.80"
23,2025-02-27,157.00,163.30,157.00,162.50,5.52,"50,030.00","7,963,996.90"
24,2025-02-25,155.30,155.30,154.00,154.00,-1.60,"6,885.00","1,061,135.00"
25,2025-02-24,153.00,170.00,153.00,156.50,0.32,"12,494.00","2,016,866.60"
26,2025-02-23,153.00,158.00,153.00,156.00,1.96,"6,264.00","969,949.00"
27,2025-02-20,154.90,154.90,152.30,153.00,-3.16,"2,519.00","385,628.10"
28,2025-02-18,153.10,159.10,152.90,158.00,1.28,"12,757.00","1,981,662.50"
29,2025-02-17,151.10,158.00,151.10,156.00,2.56,"1,141.00","176,494.10"
30,2025-02-16,152.10,152.10,152.10,152.10,-1.74,19.00,"2,889.90"
31,2025-02-13,152.00,154.80,151.80,154.80,0.52,345.00,"52,697.00"
32,2025-02-12,156.90,157.00,151.00,154.00,0.00,455.00,"69,441.00"
33,2025-02-11,154.80,154.80,154.00,154.00,1.18,110.00,"16,980.00"
34,2025-02-10,154.50,154.50,151.60,152.20,-1.10,"14,814.00","2,278,433.10"
35,2025-02-09,153.00,154.90,152.00,153.90,-0.71,"7,896.00","1,208,779.90"
36,2025-02-06,154.00,155.50,153.50,155.00,1.64,"7,500.00","1,156,380.00"
37,2025-02-05,152.00,158.10,152.00,152.50,-1.61,"12,881.00","1,972,126.70"
38,2025-02-04,153.90,156.00,153.00,155.00,-0.64,"12,579.00","1,929,951.60"
39,2025-02-03,157.00,163.10,154.10,156.00,1.30,"15,577.00","2,440,393.80"
40,2025-02-02,157.00,158.00,150.50,154.00,-3.63,"102,541.00","15,605,062.00"
41,2025-01-28,156.90,162.90,147.70,159.80,-0.12,"38,838.00","5,937,822.60"
42,2025-01-27,157.10,160.20,154.00,160.00,-0.19,"22,736.00","3,516,878.50"
43,2025-01-26,157.10,163.50,154.20,160.30,2.04,"2,846.00","447,315.10"
44,2025-01-23,164.50,164.50,157.00,157.10,-3.68,"4,216.00","668,637.00"
45,2025-01-22,161.10,163.10,155.20,163.10,3.23,"3,571.00","566,585.00"
46,2025-01-21,158.00,159.80,155.30,158.00,-1.86,"7,006.00","1,105,096.30"
