S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-09-28,136.00,136.00,136.00,136.00,0.00,"598,145.00","81,347,720.00"
2,2025-07-20,123.0,123.0,123.0,123.0,0.0,"110,026.00","11,002,600.00"
3,2025-06-29,123.0,123.0,123.0,123.0,0.0,"12,224.00","1,503,552.00"
4,2025-06-26,123.0,123.0,123.0,123.0,0.0,"23,005.00","2,829,615.00"
5,2025-06-23,123.0,123.0,123.0,123.0,-1.99,"17,695.00","2,176,485.00"
6,2025-06-22,125.5,125.5,125.5,125.5,-1.95,"46,011.00","5,774,380.50"
7,2025-05-21,128.0,128.0,128.0,128.0,0.0,"51,746.00","6,623,488.00"
8,2025-01-16,115.0,115.0,115.0,115.0,0.0,"30,288.00","3,335,314.56"
9,2025-01-15,140.0,140.0,140.0,140.0,0.0,"150,000.00","17,250,000.00"
10,2025-01-09,140.0,140.0,140.0,140.0,0.0,"23,005.00","3,220,700.00"
11,2024-12-18,140.0,140.0,140.0,140.0,0.0,"123,324.00","17,265,360.00"
12,2024-11-21,140.0,140.0,140.0,140.0,-1.41,"100,000.00","14,000,000.00"
13,2024-08-06,120.0,120.0,120.0,120.0,0.0,"22,727.00","2,727,240.00"
14,2024-06-03,113.0,113.0,113.0,113.0,0.0,"36,949.00","4,175,237.00"
15,2024-05-19,120.0,120.0,120.0,120.0,0.0,"10,732.00","1,287,840.00"
16,2024-04-29,120.0,120.0,120.0,120.0,6.19,"52,172.00","6,260,640.00"
17,2024-03-28,113.0,113.0,113.0,113.0,0.0,"90,000.00","10,170,000.00"
18,2024-01-24,113.0,113.0,113.0,113.0,0.0,"23,005.00","2,599,565.00"
19,2024-01-07,113.0,113.0,113.0,113.0,-1.74,"45,000.00","5,085,000.00"
20,2023-10-18,115.0,115.0,115.0,115.0,0.0,"30,000.00","3,450,000.00"
21,2023-08-03,128.0,128.0,128.0,128.0,-2.59,"90,000.00","11,520,000.00"
22,2023-06-15,131.4,131.4,131.4,131.4,0.0,"3,962.00","520,606.80"
23,2023-05-04,131.4,131.4,131.4,131.4,0.0,"63,462.00","8,338,906.80"
24,2023-04-25,131.4,131.4,131.4,131.4,0.0,"52,305.00","9,414,900.00"
25,2023-04-23,131.4,131.4,131.4,131.4,0.0,"52,305.00","6,872,877.00"
26,2023-04-20,131.4,131.4,131.4,131.4,0.0,"15,401.00","2,772,180.00"
27,2023-03-20,131.4,131.4,131.4,131.4,-1.94,"63,500.00","8,343,900.00"
28,2023-01-29,134.0,134.0,134.0,134.0,0.0,"9,761.00","1,756,980.00"
29,2023-01-19,134.0,134.0,134.0,134.0,0.0,"35,000.00","4,690,000.00"
30,2022-09-13,134.0,134.0,134.0,134.0,0.0,"2,000.00","268,000.00"
31,2022-05-24,160.0,160.0,160.0,160.0,0.0,"5,000.00","800,000.00"
32,2022-05-08,160.0,160.0,160.0,160.0,1.91,"168,405.00","26,944,800.00"
33,2021-11-21,245.0,245.0,245.0,245.0,0.0,"77,982.00","19,105,590.00"
34,2021-11-15,245.0,245.0,245.0,245.0,0.0,"10,294.00","2,522,030.00"
35,2021-10-19,245.0,245.0,245.0,245.0,0.0,"40,064.00","9,815,680.00"
36,2021-09-07,245.0,245.0,245.0,245.0,0.0,"3,000.00","735,000.00"
37,2021-09-06,245.0,245.0,245.0,245.0,0.0,"11,296.00","2,767,520.00"
38,2021-08-25,245.0,245.0,245.0,245.0,0.0,"45,200.00","11,074,000.00"
39,2021-06-22,245.0,245.0,245.0,245.0,0.0,"20,000.00","4,900,000.00"
40,2021-03-03,245.0,245.0,245.0,245.0,0.0,"13,000.00","3,185,000.00"
41,2021-02-25,245.0,245.0,245.0,245.0,-2.0,"15,400.00","3,773,000.00"
42,2020-12-28,250.0,250.0,250.0,250.0,0.0,"12,479.00","3,119,750.00"
43,2020-12-24,250.0,250.0,250.0,250.0,0.0,"42,545.00","10,636,250.00"
44,2020-12-22,250.0,250.0,250.0,250.0,0.0,"146,890.00","36,722,500.00"
45,2020-12-15,250.0,250.0,250.0,250.0,0.0,"49,000.00","12,250,000.00"
46,2020-11-05,250.0,250.0,250.0,250.0,0.0,"3,363.00","840,750.00"
47,2020-11-04,250.0,250.0,250.0,250.0,0.0,"5,242.00","1,310,500.00"
48,2020-10-21,250.0,250.0,250.0,250.0,0.0,"1,000.00","250,000.00"
49,2020-10-04,250.0,250.0,250.0,250.0,0.0,"8,385.00","2,096,250.00"
50,2020-09-21,250.0,250.0,250.0,250.0,0.0,"10,000.00","2,500,000.00"
51,2020-09-07,242.0,250.0,242.0,250.0,0.0,"352,820.00","88,204,880.00"
52,2020-07-08,205.0,205.0,205.0,205.0,0.0,"12,480.00","2,558,400.00"
53,2019-12-24,205.0,205.0,205.0,205.0,0.0,"16,930.00","3,470,650.00"
54,2019-12-19,205.0,205.0,205.0,205.0,0.0,"7,450.00","1,527,250.00"
55,2019-12-10,205.0,205.0,205.0,205.0,0.0,"45,132.00","9,252,060.00"
56,2019-12-02,205.0,205.0,205.0,205.0,0.0,"30,000.00","6,150,000.00"
57,2019-11-19,204.0,205.0,204.0,205.0,2.5,"100,000.00","20,465,000.00"
58,2019-11-17,204.0,204.0,200.0,200.0,-1.96,"2,576.00","519,200.00"
59,2018-12-25,204.0,204.0,204.0,204.0,-9.33,"16,930.00","3,453,720.00"
60,2018-12-06,225.0,225.0,225.0,225.0,25.0,"8,465.00","1,904,625.00"
61,2018-07-30,181.0,181.0,180.0,180.0,-0.55,"39,344.00","7,082,229.00"
62,2017-12-21,266.0,266.0,266.0,266.0,0.0,"4,417.00","1,174,922.00"
63,2017-09-13,266.0,266.0,266.0,266.0,0.0,"18,178.00","4,835,348.00"
64,2017-07-24,265.0,266.0,266.0,266.0,0.0,"13,091.00","3,482,206.00"
65,2017-07-12,265.0,265.0,265.0,265.0,0.0,"35,678.00","9,454,670.00"
66,2017-07-03,267.0,265.0,265.0,265.0,0.0,"65,330.00","17,312,450.00"
67,2017-06-11,292.0,287.0,267.0,267.0,0.0,"176,949.00","48,182,324.00"
68,2017-06-08,297.0,292.0,292.0,292.0,0.0,"1,000.00","292,000.00"
69,2017-02-02,268.0,263.0,250.0,250.0,0.0,"37,500.00","9,387,000.00"
70,2017-02-01,297.0,292.0,268.0,268.0,0.0,"3,000.00","839,000.00"
71,2017-01-31,327.0,321.0,297.0,297.0,0.0,"2,500.00","772,500.00"
72,2017-01-30,359.0,352.0,327.0,327.0,0.0,"2,500.00","848,000.00"
73,2017-01-26,400.0,392.0,359.0,359.0,0.0,"2,500.00","939,500.00"
74,2016-12-20,400.0,400.0,400.0,400.0,0.0,"13,280.00","5,312,000.00"
75,2016-12-19,400.0,400.0,400.0,400.0,0.0,"42,781.00","17,112,400.00"
76,2016-08-29,425.0,420.0,420.0,420.0,0.0,"15,276.00","6,415,920.00"
77,2016-01-25,223.0,223.0,223.0,223.0,0.0,"12,000.00","2,676,000.00"
78,2016-01-14,223.0,223.0,223.0,223.0,0.0,"27,520.00","6,136,960.00"
79,2014-08-26,133.0,133.0,133.0,133.0,0.0,"12,000.00","1,596,000.00"
80,2014-08-18,131.0,133.0,133.0,133.0,0.0,"97,271.00","12,937,043.00"
81,2014-06-01,133.0,131.0,131.0,131.0,0.0,"50,000.00","6,550,000.00"
82,2014-05-18,135.0,133.0,133.0,133.0,0.0,"26,087.00","3,469,571.00"
83,2013-10-28,135.0,135.0,135.0,135.0,0.0,"2,000.00","270,000.00"
84,2012-08-30,135.0,135.0,135.0,135.0,0.0,"19,375.00","2,615,625.00"
85,2011-10-30,136.0,135.0,135.0,135.0,0.0,"46,672.00","6,300,720.00"
86,2011-06-05,136.0,136.0,136.0,136.0,0.0,"16,000.00","2,176,000.00"
