S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-06-25,221.00,221.00,221.00,221.00,0.00,"28,755.00","6,354,855.00"
2,2022-07-29,212.0,212.0,212.0,212.0,0.0,"37,610.00","7,973,320.00"
3,2021-08-26,476.0,476.0,476.0,476.0,0.0,"48,729.00","23,195,004.00"
4,2019-10-14,126.0,126.0,126.0,126.0,0.0,"60,725.00","7,651,350.00"
5,2018-07-10,126.0,126.0,126.0,126.0,0.0,"43,335.00","5,460,210.00"
6,2018-06-06,126.0,126.0,126.0,126.0,0.0,"5,000.00","630,000.00"
7,2018-05-28,136.0,136.0,126.0,126.0,-8.7,"5,000.00","630,300.00"
8,2016-09-06,138.0,138.0,138.0,138.0,0.0,"124,038.00","17,117,244.00"
9,2016-07-18,138.0,138.0,138.0,138.0,0.0,"210,151.00","29,000,838.00"
10,2016-07-14,153.0,150.0,138.0,138.0,0.0,"234,403.00","32,351,814.00"
11,2016-07-13,169.0,166.0,153.0,153.0,0.0,600.00,"95,300.00"
12,2014-10-30,189.0,192.0,192.0,192.0,0.0,"2,500.00","480,000.00"
13,2014-03-03,189.0,189.0,189.0,189.0,0.0,"174,248.00","32,932,872.00"
14,2014-02-25,200.0,189.0,189.0,189.0,0.0,"198,256.00","37,470,384.00"
