S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-12-10,100.90,100.90,100.90,100.90,0.00,"18,295.00","1,845,965.50"
2,2025-12-07,100.9,100.9,100.9,100.9,0.0,"328,947.00","33,190,752.30"
3,2025-11-24,100.9,100.9,100.9,100.9,0.0,"14,217.00","1,434,495.30"
4,2025-11-23,100.9,100.9,100.9,100.9,0.0,"366,348.00","36,964,513.20"
5,2025-11-10,100.9,100.9,100.9,100.9,0.0,"207,518.00","20,938,566.20"
6,2025-11-04,100.9,100.9,100.9,100.9,0.0,"10,827.00","1,092,444.30"
7,2025-09-25,100.9,100.9,100.9,100.9,0.0,"5,152.00","519,836.80"
8,2025-09-24,100.9,100.9,100.9,100.9,-1.94,"521,868.00","52,656,481.20"
9,2025-09-23,102.9,102.9,102.9,102.9,-2.0,"3,378.00","347,596.20"
10,2025-08-14,105.0,105.0,105.0,105.0,0.0,"51,879.00","5,447,295.00"
11,2025-08-12,105.0,105.0,105.0,105.0,0.0,"4,000.00","420,000.00"
12,2025-08-05,105.0,105.0,105.0,105.0,1.35,"39,415.00","4,138,575.00"
13,2025-07-31,105.7,105.7,103.6,103.6,-3.9,"1,940,422.00","202,439,803.30"
14,2025-07-30,107.8,107.8,107.8,107.8,-2.0,"9,882.00","1,065,279.60"
15,2025-07-27,110.0,110.0,110.0,110.0,0.0,"409,181.00","45,009,910.00"
16,2025-07-06,110.0,110.0,110.0,110.0,0.0,"23,501.00","1,997,585.00"
17,2025-06-17,110.0,110.0,110.0,110.0,0.0,"24,000.00","2,640,000.00"
18,2025-06-12,110.0,110.0,110.0,110.0,0.0,"1,000.00","110,000.00"
19,2025-06-05,110.0,110.0,110.0,110.0,0.0,"16,247.00","1,787,170.00"
20,2025-05-19,110.0,110.0,110.0,110.0,0.0,"43,235.00","4,755,850.00"
21,2025-05-18,110.0,110.0,110.0,110.0,0.0,"62,152.00","6,836,720.00"
22,2025-05-15,110.0,110.0,110.0,110.0,0.0,"8,532.00","938,520.00"
