S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,712.00,718.90,695.00,699.56,-1.50,"18,892.00","13,246,914.60"
2,2025-03-30,690.00,719.90,685.00,710.21,2.83,"32,521.00","23,045,875.90"
3,2025-03-27,698.00,698.00,687.10,690.65,0.70,"21,941.00","15,159,394.50"
4,2025-03-26,691.90,699.90,680.00,685.88,0.97,"12,453.00","8,556,303.10"
5,2025-03-25,704.00,707.00,677.00,679.26,-3.51,"25,254.00","17,341,840.30"
6,2025-03-24,684.00,706.00,665.00,703.95,3.45,"43,880.00","30,396,558.50"
7,2025-03-23,710.00,715.00,675.00,680.47,-3.24,"49,925.00","34,261,984.70"
8,2025-03-20,728.90,728.90,701.00,703.26,-1.92,"30,580.00","21,614,835.30"
9,2025-03-19,717.00,731.30,710.00,717.00,-0.83,"23,634.00","17,001,903.00"
10,2025-03-18,738.00,738.00,720.00,723.00,-0.14,"17,315.00","12,563,285.00"
11,2025-03-17,725.00,742.00,720.30,724.00,-0.07,"20,937.00","15,297,049.30"
12,2025-03-16,735.00,745.00,720.20,724.50,-1.42,"31,019.00","22,519,601.60"
13,2025-03-12,735.30,744.50,730.00,734.90,0.12,"30,046.00","22,109,959.40"
14,2025-03-11,745.00,760.00,726.00,734.00,-1.46,"45,841.00","33,934,414.10"
15,2025-03-10,775.00,775.00,744.90,744.90,-2.12,"45,612.00","34,458,745.40"
16,2025-03-09,782.00,789.80,760.00,761.00,-2.56,"49,414.00","38,143,337.40"
17,2025-03-06,786.00,796.00,779.00,781.00,-0.53,"45,858.00","35,931,458.60"
18,2025-03-05,805.00,805.00,783.00,785.20,-1.51,"36,685.00","28,949,319.50"
19,2025-03-04,823.30,829.90,795.00,797.20,-2.30,"65,550.00","53,004,284.80"
20,2025-03-03,830.00,859.60,816.00,816.00,0.00,"84,989.00","70,572,768.20"
21,2025-03-02,795.60,820.00,793.00,816.00,4.62,"69,552.00","56,418,031.70"
22,2025-02-27,795.70,805.00,777.00,780.00,-0.01,"40,045.00","31,492,065.70"
23,2025-02-25,800.00,803.00,775.00,780.10,-1.13,"38,969.00","30,721,261.10"
24,2025-02-24,810.00,816.00,786.00,789.00,-0.79,"51,878.00","41,430,610.30"
25,2025-02-23,790.90,823.00,777.00,795.30,-1.45,"60,813.00","48,790,731.00"
26,2025-02-20,800.00,830.00,787.80,807.00,0.40,"75,169.00","60,659,030.20"
27,2025-02-18,854.00,854.60,790.20,803.80,-4.08,"103,656.00","84,832,007.50"
28,2025-02-17,825.00,857.70,825.00,838.00,3.48,"169,128.00","142,815,020.30"
29,2025-02-16,749.00,809.80,749.00,809.80,10.00,"184,154.00","145,361,094.70"
30,2025-02-13,746.60,753.70,718.00,736.20,0.57,"68,231.00","50,524,857.60"
31,2025-02-12,732.00,744.00,711.00,732.00,1.96,"47,665.00","34,786,190.20"
32,2025-02-11,722.30,749.70,715.00,717.90,-1.66,"50,594.00","36,709,095.50"
33,2025-02-10,751.00,751.00,725.20,730.00,-0.95,"41,358.00","30,428,588.90"
34,2025-02-09,751.00,757.30,735.00,737.00,-1.86,"64,371.00","47,908,278.80"
35,2025-02-06,735.00,775.00,729.00,751.00,4.16,"134,776.00","101,371,576.30"
36,2025-02-05,710.00,737.00,696.00,721.00,2.56,"86,608.00","62,078,321.80"
37,2025-02-04,725.00,729.00,700.00,703.00,-2.36,"37,140.00","26,259,876.20"
38,2025-02-03,700.00,731.30,700.00,720.00,1.41,"82,282.00","59,182,547.40"
39,2025-02-02,720.00,723.00,700.00,710.00,-0.70,"88,657.00","63,054,735.80"
40,2025-01-28,715.00,742.50,703.00,715.00,-1.92,"63,472.00","45,703,727.40"
41,2025-01-27,668.40,743.00,655.00,729.00,6.89,"138,490.00","97,465,143.10"
42,2025-01-26,743.00,750.00,670.40,682.00,-8.21,"169,362.00","117,619,155.50"
43,2025-01-23,766.00,790.00,742.00,743.00,-4.87,"77,192.00","58,915,538.40"
44,2025-01-22,770.10,785.00,755.40,781.00,3.44,"70,252.00","54,194,272.10"
45,2025-01-21,745.00,794.00,741.00,755.00,2.03,"91,345.00","70,081,969.50"
46,2025-01-20,805.00,805.00,740.00,740.00,-7.15,"109,805.00","83,593,566.60"
47,2025-01-19,787.00,824.90,771.30,797.00,-0.75,"84,109.00","67,312,032.60"
48,2025-01-16,868.00,868.00,800.10,803.00,-5.64,"162,874.00","132,531,388.00"
49,2025-01-15,918.00,918.00,850.00,851.00,-7.20,"165,842.00","144,448,575.30"
50,2025-01-13,957.00,967.00,915.00,917.00,-4.18,"98,530.00","91,697,587.20"
51,2025-01-12,980.00,994.00,950.60,957.00,-2.15,"59,169.00","57,078,426.20"
52,2025-01-09,"1,001.10","1,009.90",975.00,978.00,-2.31,"91,146.00","89,854,708.30"
53,2025-01-08,984.00,"1,051.00",984.00,"1,001.10",1.63,"144,984.00","147,423,034.90"
54,2025-01-07,"1,008.00","1,008.00",981.00,985.00,-0.91,"32,695.00","32,395,229.60"
55,2025-01-06,989.00,"1,018.00",980.00,994.00,0.40,"35,094.00","34,875,030.80"
56,2025-01-05,"1,047.00","1,065.00",988.00,990.00,-5.53,"113,180.00","114,962,747.40"
57,2025-01-02,"1,053.50","1,117.30","1,000.00","1,048.00",1.46,"83,497.00","86,765,001.90"
58,2025-01-01,970.00,"1,050.00",938.10,"1,032.90",5.95,"84,218.00","84,828,670.90"
59,2024-12-31,"1,002.00","1,002.00",902.00,974.90,-2.70,"189,918.00","178,734,773.90"
60,2024-12-29,"1,024.10","1,040.00",998.00,"1,002.00",-4.11,"79,167.00","79,826,370.20"
61,2024-12-26,"1,053.50","1,060.00","1,017.00","1,044.90",-2.79,"67,567.00","69,946,918.60"
62,2024-12-24,"1,050.00","1,080.00","1,049.00","1,074.90",3.36,"89,249.00","95,217,961.30"
63,2024-12-23,"1,042.00","1,062.00","1,025.00","1,040.00",-1.42,"54,724.00","56,901,374.40"
64,2024-12-22,"1,098.00","1,100.00","1,032.00","1,055.00",-3.99,"78,066.00","82,950,056.30"
65,2024-12-19,"1,116.20","1,136.20","1,070.00","1,098.80",-1.56,"91,973.00","102,243,956.70"
66,2024-12-18,"1,080.00","1,130.00","1,045.00","1,116.20",4.53,"96,887.00","107,552,413.40"
67,2024-12-17,"1,006.00","1,076.80",979.10,"1,067.80",6.14,"147,391.00","150,811,461.40"
