S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,550.00,550.00,522.20,529.90,-2.18,"6,692.00","3,531,240.10"
2,2025-03-30,525.00,551.00,525.00,541.70,3.03,"23,404.00","12,657,685.20"
3,2025-03-27,521.90,533.70,517.30,525.79,0.40,"12,290.00","6,495,865.10"
4,2025-03-26,518.90,525.00,515.00,523.69,2.93,"7,328.00","3,811,796.60"
5,2025-03-25,516.50,533.00,505.00,508.78,-3.44,"11,846.00","6,076,226.80"
6,2025-03-24,508.00,535.50,506.00,526.91,3.42,"11,671.00","6,118,040.00"
7,2025-03-23,527.10,531.90,508.10,509.51,-3.20,"11,747.00","6,096,530.10"
8,2025-03-20,530.00,533.90,525.10,526.34,-1.27,"7,272.00","3,843,214.70"
9,2025-03-19,545.30,550.00,530.00,533.10,-1.28,"9,735.00","5,250,002.30"
10,2025-03-18,535.00,556.00,532.00,540.00,0.93,"9,558.00","5,204,705.00"
11,2025-03-17,544.00,544.00,531.20,535.00,-0.19,"12,848.00","6,923,890.00"
12,2025-03-16,541.00,543.00,529.00,536.00,-1.29,"16,723.00","8,931,466.20"
13,2025-03-12,542.00,547.00,540.00,543.00,0.26,"8,825.00","4,795,039.10"
14,2025-03-11,551.00,554.00,541.20,541.60,-1.53,"10,372.00","5,674,798.60"
15,2025-03-10,555.00,566.70,545.10,550.00,0.92,"15,502.00","8,573,268.20"
16,2025-03-09,568.00,570.00,545.00,545.00,-3.71,"20,890.00","11,583,656.80"
17,2025-03-06,561.30,574.00,560.00,566.00,0.00,"15,705.00","8,897,514.30"
18,2025-03-05,575.00,580.90,554.00,566.00,-1.57,"32,220.00","18,309,109.60"
19,2025-03-04,605.00,605.00,575.00,575.00,-3.20,"24,595.00","14,355,515.90"
20,2025-03-03,601.10,614.00,590.00,594.00,-0.34,"34,664.00","20,836,165.20"
21,2025-03-02,580.00,596.00,574.00,596.00,4.56,"29,164.00","17,071,201.30"
22,2025-02-27,586.50,588.00,565.10,570.00,-0.87,"20,007.00","11,452,687.40"
23,2025-02-25,586.00,587.00,566.00,575.00,-0.17,"22,328.00","12,857,970.20"
24,2025-02-24,590.00,590.00,569.00,576.00,-0.69,"21,746.00","12,544,580.10"
