Commercial_Banks,Development_Bank_Limited,Finance,Hotels_And_Tourism,Hydro_Power,Investment,Life_Insurance,Manufacturing_And_Processing,Microfinance,Mutual_Fund,Non-Life_Insurance,Others,Promotor_Share,Tradings
ADBL,CORBL,BFC,BANDIPUR,AHL,CHDC,ALICL,BNL,ACLBSL,C30MF,HEI,HRL,ACEDPO,BBC
CZBIL,EDBL,CFCL,BCTL,AHPC,CIT,CLI,BNT,ALBSL,CMF1,IGI,MKCL,ACLBSLP,STC
EBL,GBBL,CMB,CGH,AKJCL,ENL,CREST,GCIL,ANLB,CMF2,NICL,NFD,AEFLPO,
GBIME,GRDBL,GFCL,CITY,AKPL,HATHY,GMLI,HDL,AVYAN,GBIMESY2,NIL,NRIC,AFCPO,
HBL,JBBL,GMFIL,KDL,API,HIDCL,HLI,NLO,CBBL,GIBF1,NLG,NRM,AICPO,
KBL,KRBL,GUFL,OHL,BARUN,NIFRA,ILI,OMPL,CYCL,GIMES1,NMIC,NTC,AKBSLP,
LSL,KSBBL,ICFC,SHL,BEDC,NRN,LICN,SAGAR,DDBL,GSY,PRIN,NWCL,ALBSLP,
MBL,LBBL,JFL,TRH,BGWT,,NLIC,SAIL,DLBS,H8020,RBCL,PURE,ALICLP,
NABIL,MDB,MFIL,,BHCL,,NLICL,SARBTM,FMDBL,KDBY,SALICO,TTL,ARDBLP,
NBL,MLBL,MPFL,,BHDC,,PMLI,SHIVM,FOWAD,KEF,SGIC,,BBBLNP,
NICA,MNBBL,NFS,,BHL,,RJBCL,SHREE,GBLBS,KSY,SICL,,BBBLPO,
NIMB,NABBC,PFL,,BHPL,,RNLI,SONA,GILB,LEMF,SPIL,,BFCPO,
NMB,SADBL,PROFL,,BNHC,,SJLIC,SRS,GLBSL,LUK,UAIL,,BHBLPO,
PCBL,SAPDBL,RLFL,,BPCL,,SNLI,SWASTIK,GMFBS,LVF2,,,BLDBLP,
PRVU,SHINE,SFCL,,BUNGAL,,SRLI,SYPNL,HLBSL,MBLEF,,,BOKLPO,
SANIMA,SINDU,SIFC,,CHCL,,,UNL,ILBS,MMF1,,,BSBLPO,
SBI,,,,CHL,,,,JBLB,MNMF1,,,BUDBLP,
SBL,,,,CKHL,,,,JSLBB,NBF1,,,CBBLPO,
SCB,,,,DHEL,,,,KMCDB,NBF2,,,CBLPO,
,,,,DHPL,,,,LLBS,NBF3,,,CCBLPO,
,,,,DOLTI,,,,MATRI,NEF,,,CDBLPO,
,,,,DORDI,,,,MERO,NIBLGF,,,CEDBLP,
,,,,EHPL,,,,MLBBL,NIBLPF,,,CEFLPO,
,,,,GHL,,,,MLBS,NIBLSTF,,,CFCLPO,
,,,,GLH,,,,MLBSL,NIBSF1,,,CITPO,
,,,,GVL,,,,MSLB,NIBSF2,,,CMBFPO,
,,,,HDHPC,,,,NADEP,NICBF,,,CYCLP,
,,,,HHL,,,,NESDO,NICFC,,,CZBILP,
,,,,HIMSTAR,,,,NICLBSL,NICGF,,,DBBLPO,
,,,,HPPL,,,,NMBMF,NICGF2,,,DCBLPO,
,,,,HURJA,,,,NMFBS,NICSF,,,DDBLPO,
,,,,IHL,,,,NMLBBL,NMB50,,,EBLPO,
